source,condition,count,next_expansive_count,next_expansive_fraction,next_expansive_se,avg_next_log,avg_next_log_se,avg_next_tail,avg_next_tail_se,avg_next_exit_v2,avg_next_exit_v2_se
real,prev_exit_v2_ge_1,371076,105643,0.2846937,0.0007408043,-0.579772784309,0.001867130439,1.9980058,0.0023185221,2.0051984,0.0023307691
real,prev_exit_v2_ge_2,88148,25049,0.28416981,0.0015191048,-0.587600919317,0.003865391259,1.99692563,0.0047660125,2.01585969,0.0048340578
real,prev_exit_v2_ge_3,22667,6469,0.28539286,0.0029995645,-0.580241372739,0.007631552971,1.99708828,0.0093467447,2.00533816,0.009534827
real,prev_exit_v2_ge_4,5814,1551,0.26676987,0.0058003076,-0.565573865551,0.014541490924,1.96680427,0.0182873751,1.96646027,0.0182597406
real,prev_exit_v2_ge_5,1458,345,0.23662551,0.0111306581,-0.621436756799,0.02893206239,1.8957476,0.0321238032,2.00548697,0.037754285
real,prev_exit_v2_ge_6,336,86,0.25595238,0.0238073093,-0.610702729676,0.053846060515,2.06547619,0.0676123091,2.08928571,0.0726027339
real,prev_exit_v2_ge_7,72,31,0.43055556,0.0583544568,-0.463833945185,0.113081330928,2.01388889,0.112749559,1.84722222,0.1462356586
real,prev_exit_v2_ge_8,25,14,0.56,0.0992773892,-0.647033565742,0.209307542807,1.96,0.1469693846,2.08,0.2576819745
real,prev_exit_v2_ge_9,7,7,1.0,0.0,0.11778404097,8.13e-10,2.0,0.0,1.0,0.0
real,prev_exit_v2_ge_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_ge_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_ge_1,373062,106730,0.28609186,0.0007399177,-0.57617042238,0.001857396274,1.9996703,0.0023116415,2.00097035,0.0023155619
model,prev_exit_v2_ge_2,88815,25406,0.28605528,0.0015164012,-0.573859551844,0.003787798895,1.99911051,0.00472897,1.99730901,0.0047123389
model,prev_exit_v2_ge_3,22837,6507,0.28493235,0.0029869291,-0.568079178129,0.00739180193,1.99820467,0.0093026693,1.98843981,0.0091798338
model,prev_exit_v2_ge_4,5750,1633,0.284,0.0059467784,-0.576129486391,0.014658748396,1.97165217,0.0182470289,1.98452174,0.0182165346
model,prev_exit_v2_ge_5,1425,401,0.28140351,0.0119124165,-0.566562519441,0.029167066264,2.00491228,0.0379532898,1.99017544,0.0360274994
model,prev_exit_v2_ge_6,337,89,0.26409496,0.0240146351,-0.555340341534,0.057101751779,1.97329377,0.0766209856,1.95548961,0.072448616
model,prev_exit_v2_ge_7,84,20,0.23809524,0.046471432,-0.65165252183,0.138908160151,2.03571429,0.17556272,2.13095238,0.1790679652
model,prev_exit_v2_ge_8,27,8,0.2962963,0.0878771873,-0.645586051256,0.262806126933,2.33333333,0.3066220703,2.2962963,0.3879040576
model,prev_exit_v2_ge_9,8,3,0.375,0.1711632992,-0.235305054766,0.335184988295,2.625,0.5957438328,1.875,0.4794900565
model,prev_exit_v2_ge_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_ge_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
