condition,real_count,model_count,real_next_expansive_fraction,model_next_expansive_fraction,diff_real_minus_model,diff_se,diff_z_score,diff_ci95_low,diff_ci95_high,real_avg_next_log,model_avg_next_log,diff_avg_next_log,real_avg_next_tail,model_avg_next_tail,diff_avg_next_tail,real_avg_next_exit_v2,model_avg_next_exit_v2,diff_avg_next_exit_v2
prev_exit_v2_eq_1,282928,284247,0.28485692,0.28610328,-0.00124636,0.0011994072,-1.039146,-0.0035972,0.00110448,-0.577333879553,-0.57689247034,-0.000441409213,1.99834233,1.99984521,-0.00150287,2.0018768,2.00211436,-0.00023756
prev_exit_v2_eq_2,65481,65978,0.28374643,0.28644397,-0.00269754,0.002490306,-1.083215,-0.00757854,0.00218346,-0.590148510866,-0.575860315652,-0.014288195215,1.99686932,1.99942405,-0.00255473,2.01950184,2.00037891,0.01912293
prev_exit_v2_eq_3,16853,17087,0.29181748,0.28524609,0.00657139,0.0049187834,1.335978,-0.00306943,0.0162122,-0.585301414678,-0.565370143628,-0.01993127105,2.00753575,2.00713993,0.00039582,2.01875037,1.9897583,0.02899208
prev_exit_v2_eq_4,4356,4325,0.2768595,0.28485549,-0.00799599,0.0096469032,-0.828866,-0.02690392,0.01091194,-0.54687595567,-0.57928160845,0.032405652779,1.9905877,1.96069364,0.02989405,1.95339761,1.98265896,-0.02926135
prev_exit_v2_eq_5,1122,1088,0.23083779,0.28676471,-0.05592692,0.018607351,-3.005636,-0.09239732,-0.01945651,-0.624651224814,-0.570038506531,-0.054612718283,1.84491979,2.01470588,-0.1697861,1.98039216,2.00091912,-0.02052696
prev_exit_v2_eq_6,264,253,0.20833333,0.27272727,-0.06439394,0.0375328871,-1.715667,-0.1379584,0.00917052,-0.650757852719,-0.523363174954,-0.127394677765,2.07954545,1.95256917,0.12697628,2.15530303,1.8972332,0.25806983
prev_exit_v2_eq_7,47,57,0.36170213,0.21052632,0.15117581,0.0884764562,1.708656,-0.02223804,0.32458967,-0.366387338506,-0.654526113155,0.288138774649,2.04255319,1.89473684,0.14781635,1.72340426,2.05263158,-0.32922732
prev_exit_v2_eq_8,18,19,0.38888889,0.26315789,0.12573099,0.1529986508,0.821778,-0.17414636,0.42560835,-0.944462635019,-0.818335944514,-0.126126690505,1.94444444,2.21052632,-0.26608187,2.5,2.47368421,0.02631579
prev_exit_v2_eq_9,7,8,1.0,0.375,0.625,0.1711632992,3.651484,0.28951993,0.96048007,0.11778404097,-0.235305054766,0.353089095736,2.0,2.625,-0.625,1.0,1.875,-0.875
prev_exit_v2_eq_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prev_exit_v2_eq_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
