n,status,blocks,compressed_steps,expansive_blocks,max_tail_seen,max_odd,max_peak,terminal_odd,max_odd_ratio,max_peak_ratio,final_log_ratio
626331,drop,41,287,18,14,1805570797,7222283188,597017,2882.774119,11531.096478,-0.047933396654
667375,drop,41,286,17,8,617037601,2468150404,212047,924.574042,3698.296166,-1.146544158607
704623,drop,40,282,17,14,1805570797,7222283188,597017,2562.463611,10249.854444,-0.165717319309
159487,drop,14,123,5,13,2150297219,17202377752,1559,13482.586161,107860.689285,-4.627917824125
270271,drop,38,273,17,8,3081009737,24648077896,2513,11399.705248,91197.641982,-4.677947900767
288615,drop,36,255,17,8,3081009737,24648077896,2513,10675.154573,85401.236582,-4.74361636148
704511,drop,13,119,5,14,1111859455,56991483520,661115,1578.200277,80895.09393,-0.063576141588
405407,drop,38,271,17,8,3081009737,24648077896,2513,7599.794125,60798.353003,-5.083414242204
