condition,real_count,model_count,real_next_expansive_fraction,model_next_expansive_fraction,diff_real_minus_model,diff_se,diff_z_score,diff_ci95_low,diff_ci95_high,real_avg_next_log,model_avg_next_log,diff_avg_next_log,real_avg_next_tail,model_avg_next_tail,diff_avg_next_tail,real_avg_next_exit_v2,model_avg_next_exit_v2,diff_avg_next_exit_v2
prev_exit_v2_ge_1,371076,373062,0.2846937,0.28609186,-0.00139815,0.0010470288,-1.335354,-0.00345033,0.00065402,-0.579772784309,-0.57617042238,-0.003602361929,1.9980058,1.9996703,-0.0016645,2.0051984,2.00097035,0.00422805
prev_exit_v2_ge_2,88148,88815,0.28416981,0.28605528,-0.00188548,0.0021464277,-0.878426,-0.00609248,0.00232152,-0.587600919317,-0.573859551844,-0.013741367473,1.99692563,1.99911051,-0.00218489,2.01585969,1.99730901,0.01855068
prev_exit_v2_ge_3,22667,22837,0.28539286,0.28493235,0.00046052,0.0042330997,0.108789,-0.00783636,0.00875739,-0.580241372739,-0.568079178129,-0.01216219461,1.99708828,1.99820467,-0.00111639,2.00533816,1.98843981,0.01689834
prev_exit_v2_ge_4,5814,5750,0.26676987,0.284,-0.01723013,0.0083070899,-2.074148,-0.03351203,-0.00094824,-0.565573865551,-0.576129486391,0.01055562084,1.96680427,1.97165217,-0.00484791,1.96646027,1.98452174,-0.01806147
prev_exit_v2_ge_5,1458,1425,0.23662551,0.28140351,-0.04477799,0.0163032885,-2.746562,-0.07673244,-0.01282355,-0.621436756799,-0.566562519441,-0.054874237358,1.8957476,2.00491228,-0.10916468,2.00548697,1.99017544,0.01531153
prev_exit_v2_ge_6,336,337,0.25595238,0.26409496,-0.00814257,0.033815539,-0.240794,-0.07442103,0.05813588,-0.610702729676,-0.555340341534,-0.055362388142,2.06547619,1.97329377,0.09218242,2.08928571,1.95548961,0.1337961
prev_exit_v2_ge_7,72,84,0.43055556,0.23809524,0.19246032,0.0745978326,2.579972,0.04624857,0.33867207,-0.463833945185,-0.65165252183,0.187818576645,2.01388889,2.03571429,-0.0218254,1.84722222,2.13095238,-0.28373016
prev_exit_v2_ge_8,25,27,0.56,0.2962963,0.2637037,0.1325835587,1.988962,0.00383993,0.52356748,-0.647033565742,-0.645586051256,-0.001447514487,1.96,2.33333333,-0.37333333,2.08,2.2962963,-0.2162963
prev_exit_v2_ge_9,7,8,1.0,0.375,0.625,0.1711632992,3.651484,0.28951993,0.96048007,0.11778404097,-0.235305054766,0.353089095736,2.0,2.625,-0.625,1.0,1.875,-0.875
prev_exit_v2_ge_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prev_exit_v2_ge_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
