bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
duration_01,356865,356888,0.70054222,0.70060075,-5.853e-05,0.0010842485,-0.00218365,0.0020666,-0.053979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48120438,1.47994329,0.00126109
duration_02,146318,146168,0.34361459,0.34235264,0.00126196,0.001755504,-0.00217883,0.00470275,0.718858,0.5,0.5,0.0,0.0018490451,-0.00362413,0.00362413,0.0,2.10160062,2.10636391,-0.00476329
duration_03,77712,77610,0.35417953,0.35311171,0.00106782,0.0024262342,-0.0036876,0.00582324,0.440115,0.50150556,0.50198428,-0.00047872,0.0025373531,-0.00545193,0.00449449,-0.18867,2.32850782,2.33362969,-0.00512186
duration_04,55632,55844,0.35609002,0.35717355,-0.00108353,0.0028693225,-0.00670741,0.00454034,-0.377627,0.47724331,0.47675668,0.00048663,0.0029919208,-0.00537753,0.0063508,0.162649,2.44524734,2.45200917,-0.00676183
duration_05,44735,45325,0.37599195,0.37482625,0.0011657,0.003227187,-0.00515959,0.00749098,0.361212,0.47077233,0.47057915,0.00019318,0.0033265586,-0.00632688,0.00671323,0.058071,2.43438024,2.42618864,0.0081916
duration_06,36318,35616,0.37039485,0.37168688,-0.00129204,0.0036025232,-0.00835298,0.00576891,-0.358648,0.47150173,0.4693677,0.00213403,0.0037221295,-0.00516134,0.00942941,0.573337,2.48771959,2.48722484,0.00049475
duration_07,29197,28637,0.37507278,0.37549324,-0.00042046,0.0040269875,-0.00831336,0.00747243,-0.104411,0.4740898,0.46935782,0.00473198,0.0041517113,-0.00340537,0.01286933,1.139766,2.48594034,2.47319901,0.01274133
duration_08,22248,22336,0.37562927,0.37871597,-0.0030867,0.0045908422,-0.01208475,0.00591135,-0.672361,0.4737954,0.47080946,0.00298594,0.0047287044,-0.00628232,0.0122542,0.63145,2.49905609,2.48929979,0.00975631
duration_09,17802,17505,0.37698011,0.37863468,-0.00165456,0.0051607586,-0.01176965,0.00846053,-0.320604,0.46916077,0.46923736,-7.659e-05,0.005312016,-0.01048814,0.01033496,-0.014419,2.53583867,2.52944873,0.00638994
duration_10,14990,14790,0.37098065,0.37329277,-0.00231211,0.0056022418,-0.01329251,0.00866828,-0.412712,0.46911274,0.47281947,-0.00370673,0.0057851104,-0.01504555,0.00763209,-0.640736,2.55677118,2.54306964,0.01370154
duration_11_20,57528,59459,0.3796586,0.37925293,0.00040567,0.0028378408,-0.0051565,0.00596784,0.14295,0.46723335,0.46929817,-0.00206482,0.0029181795,-0.00778446,0.00365481,-0.707573,2.56318662,2.55328882,0.0098978
duration_21_40,11648,12084,0.3956044,0.37512413,0.02048026,0.0063186479,0.00809571,0.03286481,3.241242,0.44900412,0.47144985,-0.02244573,0.0064699852,-0.0351269,-0.00976456,-3.469209,2.55391484,2.58747104,-0.0335562
duration_41_plus,82,799,0.37804878,0.38673342,-0.00868464,0.0562516472,-0.11893786,0.10156859,-0.154389,0.42682927,0.4543179,-0.02748863,0.0573913549,-0.13997568,0.08499843,-0.478968,2.69512195,2.67459324,0.02052871
