residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
1445,0000010110100101,1010010110100000,5
1453,0000010110101101,1011010110100000,5
1461,0000010110110101,1010110110100000,5
1469,0000010110111101,1011110110100000,5
1477,0000010111000101,1010001110100000,5
1485,0000010111001101,1011001110100000,5
1493,0000010111010101,1010101110100000,5
1501,0000010111011101,1011101110100000,5
1509,0000010111100101,1010011110100000,5
1517,0000010111101101,1011011110100000,5
1525,0000010111110101,1010111110100000,5
1533,0000010111111101,1011111110100000,5
1541,0000011000000101,1010000001100000,5
1549,0000011000001101,1011000001100000,5
1557,0000011000010101,1010100001100000,5
1565,0000011000011101,1011100001100000,5
1573,0000011000100101,1010010001100000,5
1581,0000011000101101,1011010001100000,5
1589,0000011000110101,1010110001100000,5
1597,0000011000111101,1011110001100000,5
1605,0000011001000101,1010001001100000,5
1613,0000011001001101,1011001001100000,5
1621,0000011001010101,1010101001100000,5
1629,0000011001011101,1011101001100000,5
1637,0000011001100101,1010011001100000,5
1645,0000011001101101,1011011001100000,5
1653,0000011001110101,1010111001100000,5
1661,0000011001111101,1011111001100000,5
1669,0000011010000101,1010000101100000,5
1677,0000011010001101,1011000101100000,5
1685,0000011010010101,1010100101100000,5
1693,0000011010011101,1011100101100000,5
1709,0000011010101101,1011010101100000,5
1717,0000011010110101,1010110101100000,5
1725,0000011010111101,1011110101100000,5
1733,0000011011000101,1010001101100000,5
1741,0000011011001101,1011001101100000,5
1749,0000011011010101,1010101101100000,5
1757,0000011011011101,1011101101100000,5
1765,0000011011100101,1010011101100000,5
1773,0000011011101101,1011011101100000,5
1781,0000011011110101,1010111101100000,5
1789,0000011011111101,1011111101100000,5
1797,0000011100000101,1010000011100000,5
1805,0000011100001101,1011000011100000,5
1813,0000011100010101,1010100011100000,5
1821,0000011100011101,1011100011100000,5
1829,0000011100100101,1010010011100000,5
1837,0000011100101101,1011010011100000,5
1845,0000011100110101,1010110011100000,5
1853,0000011100111101,1011110011100000,5
1861,0000011101000101,1010001011100000,5
1869,0000011101001101,1011001011100000,5
1877,0000011101010101,1010101011100000,5
1885,0000011101011101,1011101011100000,5
1893,0000011101100101,1010011011100000,5
1901,0000011101101101,1011011011100000,5
1909,0000011101110101,1010111011100000,5
1917,0000011101111101,1011111011100000,5
1925,0000011110000101,1010000111100000,5
1933,0000011110001101,1011000111100000,5
1941,0000011110010101,1010100111100000,5
1949,0000011110011101,1011100111100000,5
1957,0000011110100101,1010010111100000,5
1965,0000011110101101,1011010111100000,5
1973,0000011110110101,1010110111100000,5
1989,0000011111000101,1010001111100000,5
1997,0000011111001101,1011001111100000,5
2005,0000011111010101,1010101111100000,5
2013,0000011111011101,1011101111100000,5
2021,0000011111100101,1010011111100000,5
2029,0000011111101101,1011011111100000,5
2037,0000011111110101,1010111111100000,5
2053,0000100000000101,1010000000010000,5
2061,0000100000001101,1011000000010000,5
2069,0000100000010101,1010100000010000,5
2077,0000100000011101,1011100000010000,5
2085,0000100000100101,1010010000010000,5
2093,0000100000101101,1011010000010000,5
2101,0000100000110101,1010110000010000,5
2109,0000100000111101,1011110000010000,5
2117,0000100001000101,1010001000010000,5
2125,0000100001001101,1011001000010000,5
2133,0000100001010101,1010101000010000,5
2141,0000100001011101,1011101000010000,5
2149,0000100001100101,1010011000010000,5
2157,0000100001101101,1011011000010000,5
2165,0000100001110101,1010111000010000,5
2173,0000100001111101,1011111000010000,5
2181,0000100010000101,1010000100010000,5
2189,0000100010001101,1011000100010000,5
2197,0000100010010101,1010100100010000,5
2205,0000100010011101,1011100100010000,5
2213,0000100010100101,1010010100010000,5
2221,0000100010101101,1011010100010000,5
2229,0000100010110101,1010110100010000,5
2237,0000100010111101,1011110100010000,5
2245,0000100011000101,1010001100010000,5
2253,0000100011001101,1011001100010000,5
2261,0000100011010101,1010101100010000,5
2269,0000100011011101,1011101100010000,5
2277,0000100011100101,1010011100010000,5
2285,0000100011101101,1011011100010000,5
2293,0000100011110101,1010111100010000,5
2301,0000100011111101,1011111100010000,5
2309,0000100100000101,1010000010010000,5
2317,0000100100001101,1011000010010000,5
2325,0000100100010101,1010100010010000,5
2333,0000100100011101,1011100010010000,5
2341,0000100100100101,1010010010010000,5
2349,0000100100101101,1011010010010000,5
2357,0000100100110101,1010110010010000,5
2365,0000100100111101,1011110010010000,5
2373,0000100101000101,1010001010010000,5
2381,0000100101001101,1011001010010000,5
2389,0000100101010101,1010101010010000,5
2397,0000100101011101,1011101010010000,5
2405,0000100101100101,1010011010010000,5
2413,0000100101101101,1011011010010000,5
2421,0000100101110101,1010111010010000,5
2429,0000100101111101,1011111010010000,5
2437,0000100110000101,1010000110010000,5
2445,0000100110001101,1011000110010000,5
2453,0000100110010101,1010100110010000,5
2461,0000100110011101,1011100110010000,5
2469,0000100110100101,1010010110010000,5
2477,0000100110101101,1011010110010000,5
2485,0000100110110101,1010110110010000,5
2493,0000100110111101,1011110110010000,5
2501,0000100111000101,1010001110010000,5
2509,0000100111001101,1011001110010000,5
2517,0000100111010101,1010101110010000,5
2525,0000100111011101,1011101110010000,5
2533,0000100111100101,1010011110010000,5
2541,0000100111101101,1011011110010000,5
2549,0000100111110101,1010111110010000,5
2565,0000101000000101,1010000001010000,5
2573,0000101000001101,1011000001010000,5
2581,0000101000010101,1010100001010000,5
2589,0000101000011101,1011100001010000,5
2597,0000101000100101,1010010001010000,5
2605,0000101000101101,1011010001010000,5
2613,0000101000110101,1010110001010000,5
2621,0000101000111101,1011110001010000,5
2629,0000101001000101,1010001001010000,5
2637,0000101001001101,1011001001010000,5
2645,0000101001010101,1010101001010000,5
2653,0000101001011101,1011101001010000,5
2661,0000101001100101,1010011001010000,5
2677,0000101001110101,1010111001010000,5
2685,0000101001111101,1011111001010000,5
2693,0000101010000101,1010000101010000,5
2701,0000101010001101,1011000101010000,5
2709,0000101010010101,1010100101010000,5
2717,0000101010011101,1011100101010000,5
2733,0000101010101101,1011010101010000,5
2741,0000101010110101,1010110101010000,5
2749,0000101010111101,1011110101010000,5
2757,0000101011000101,1010001101010000,5
2765,0000101011001101,1011001101010000,5
2773,0000101011010101,1010101101010000,5
2781,0000101011011101,1011101101010000,5
2789,0000101011100101,1010011101010000,5
2797,0000101011101101,1011011101010000,5
2805,0000101011110101,1010111101010000,5
2821,0000101100000101,1010000011010000,5
2829,0000101100001101,1011000011010000,5
2837,0000101100010101,1010100011010000,5
2845,0000101100011101,1011100011010000,5
2853,0000101100100101,1010010011010000,5
2861,0000101100101101,1011010011010000,5
2869,0000101100110101,1010110011010000,5
2877,0000101100111101,1011110011010000,5
2885,0000101101000101,1010001011010000,5
2893,0000101101001101,1011001011010000,5
2901,0000101101010101,1010101011010000,5
2909,0000101101011101,1011101011010000,5
2917,0000101101100101,1010011011010000,5
2925,0000101101101101,1011011011010000,5
2933,0000101101110101,1010111011010000,5
2941,0000101101111101,1011111011010000,5
2949,0000101110000101,1010000111010000,5
2957,0000101110001101,1011000111010000,5
2965,0000101110010101,1010100111010000,5
2973,0000101110011101,1011100111010000,5
2981,0000101110100101,1010010111010000,5
2989,0000101110101101,1011010111010000,5
2997,0000101110110101,1010110111010000,5
3005,0000101110111101,1011110111010000,5
3013,0000101111000101,1010001111010000,5
3021,0000101111001101,1011001111010000,5
3029,0000101111010101,1010101111010000,5
3037,0000101111011101,1011101111010000,5
3045,0000101111100101,1010011111010000,5
3053,0000101111101101,1011011111010000,5
3061,0000101111110101,1010111111010000,5
3069,0000101111111101,1011111111010000,5
3077,0000110000000101,1010000000110000,5
3085,0000110000001101,1011000000110000,5
3093,0000110000010101,1010100000110000,5
3101,0000110000011101,1011100000110000,5
3109,0000110000100101,1010010000110000,5
3117,0000110000101101,1011010000110000,5
3125,0000110000110101,1010110000110000,5
3133,0000110000111101,1011110000110000,5
3141,0000110001000101,1010001000110000,5
3149,0000110001001101,1011001000110000,5
3157,0000110001010101,1010101000110000,5
3165,0000110001011101,1011101000110000,5
3173,0000110001100101,1010011000110000,5
3189,0000110001110101,1010111000110000,5
3197,0000110001111101,1011111000110000,5
3205,0000110010000101,1010000100110000,5
3213,0000110010001101,1011000100110000,5
3221,0000110010010101,1010100100110000,5
3237,0000110010100101,1010010100110000,5
3245,0000110010101101,1011010100110000,5
3253,0000110010110101,1010110100110000,5
3261,0000110010111101,1011110100110000,5
3269,0000110011000101,1010001100110000,5
3277,0000110011001101,1011001100110000,5
3285,0000110011010101,1010101100110000,5
3293,0000110011011101,1011101100110000,5
3301,0000110011100101,1010011100110000,5
3309,0000110011101101,1011011100110000,5
3317,0000110011110101,1010111100110000,5
3325,0000110011111101,1011111100110000,5
3333,0000110100000101,1010000010110000,5
3341,0000110100001101,1011000010110000,5
3349,0000110100010101,1010100010110000,5
3357,0000110100011101,1011100010110000,5
3365,0000110100100101,1010010010110000,5
3373,0000110100101101,1011010010110000,5
3381,0000110100110101,1010110010110000,5
3389,0000110100111101,1011110010110000,5
3397,0000110101000101,1010001010110000,5
3405,0000110101001101,1011001010110000,5
3413,0000110101010101,1010101010110000,5
3421,0000110101011101,1011101010110000,5
3429,0000110101100101,1010011010110000,5
3437,0000110101101101,1011011010110000,5
3445,0000110101110101,1010111010110000,5
3453,0000110101111101,1011111010110000,5
3461,0000110110000101,1010000110110000,5
3469,0000110110001101,1011000110110000,5
3477,0000110110010101,1010100110110000,5
3493,0000110110100101,1010010110110000,5
3501,0000110110101101,1011010110110000,5
3509,0000110110110101,1010110110110000,5
3517,0000110110111101,1011110110110000,5
3525,0000110111000101,1010001110110000,5
3533,0000110111001101,1011001110110000,5
3541,0000110111010101,1010101110110000,5
3549,0000110111011101,1011101110110000,5
3565,0000110111101101,1011011110110000,5
3573,0000110111110101,1010111110110000,5
3581,0000110111111101,1011111110110000,5
3589,0000111000000101,1010000001110000,5
3597,0000111000001101,1011000001110000,5
3605,0000111000010101,1010100001110000,5
3613,0000111000011101,1011100001110000,5
3621,0000111000100101,1010010001110000,5
3629,0000111000101101,1011010001110000,5
3637,0000111000110101,1010110001110000,5
3645,0000111000111101,1011110001110000,5
3653,0000111001000101,1010001001110000,5
3661,0000111001001101,1011001001110000,5
3669,0000111001010101,1010101001110000,5
3677,0000111001011101,1011101001110000,5
3685,0000111001100101,1010011001110000,5
3693,0000111001101101,1011011001110000,5
3701,0000111001110101,1010111001110000,5
3709,0000111001111101,1011111001110000,5
3717,0000111010000101,1010000101110000,5
3725,0000111010001101,1011000101110000,5
3733,0000111010010101,1010100101110000,5
3741,0000111010011101,1011100101110000,5
3757,0000111010101101,1011010101110000,5
3765,0000111010110101,1010110101110000,5
3773,0000111010111101,1011110101110000,5
3781,0000111011000101,1010001101110000,5
3789,0000111011001101,1011001101110000,5
3797,0000111011010101,1010101101110000,5
3805,0000111011011101,1011101101110000,5
3813,0000111011100101,1010011101110000,5
3821,0000111011101101,1011011101110000,5
3829,0000111011110101,1010111101110000,5
3845,0000111100000101,1010000011110000,5
3853,0000111100001101,1011000011110000,5
3861,0000111100010101,1010100011110000,5
3869,0000111100011101,1011100011110000,5
3877,0000111100100101,1010010011110000,5
3885,0000111100101101,1011010011110000,5
3893,0000111100110101,1010110011110000,5
3901,0000111100111101,1011110011110000,5
3909,0000111101000101,1010001011110000,5
3917,0000111101001101,1011001011110000,5
3925,0000111101010101,1010101011110000,5
3933,0000111101011101,1011101011110000,5
3941,0000111101100101,1010011011110000,5
3949,0000111101101101,1011011011110000,5
3957,0000111101110101,1010111011110000,5
3965,0000111101111101,1011111011110000,5
3973,0000111110000101,1010000111110000,5
3981,0000111110001101,1011000111110000,5
3989,0000111110010101,1010100111110000,5
3997,0000111110011101,1011100111110000,5
4013,0000111110101101,1011010111110000,5
4021,0000111110110101,1010110111110000,5
4029,0000111110111101,1011110111110000,5
4037,0000111111000101,1010001111110000,5
4045,0000111111001101,1011001111110000,5
4053,0000111111010101,1010101111110000,5
4061,0000111111011101,1011101111110000,5
4069,0000111111100101,1010011111110000,5
4077,0000111111101101,1011011111110000,5
4085,0000111111110101,1010111111110000,5
4101,0001000000000101,1010000000001000,5
4109,0001000000001101,1011000000001000,5
4117,0001000000010101,1010100000001000,5
4125,0001000000011101,1011100000001000,5
4133,0001000000100101,1010010000001000,5
4141,0001000000101101,1011010000001000,5
4149,0001000000110101,1010110000001000,5
4157,0001000000111101,1011110000001000,5
4165,0001000001000101,1010001000001000,5
4173,0001000001001101,1011001000001000,5
4181,0001000001010101,1010101000001000,5
4189,0001000001011101,1011101000001000,5
4197,0001000001100101,1010011000001000,5
4213,0001000001110101,1010111000001000,5
4229,0001000010000101,1010000100001000,5
4237,0001000010001101,1011000100001000,5
4245,0001000010010101,1010100100001000,5
4253,0001000010011101,1011100100001000,5
4261,0001000010100101,1010010100001000,5
4269,0001000010101101,1011010100001000,5
4277,0001000010110101,1010110100001000,5
4285,0001000010111101,1011110100001000,5
4293,0001000011000101,1010001100001000,5
4301,0001000011001101,1011001100001000,5
4309,0001000011010101,1010101100001000,5
4317,0001000011011101,1011101100001000,5
4325,0001000011100101,1010011100001000,5
4333,0001000011101101,1011011100001000,5
4341,0001000011110101,1010111100001000,5
4349,0001000011111101,1011111100001000,5
4357,0001000100000101,1010000010001000,5
4365,0001000100001101,1011000010001000,5
4373,0001000100010101,1010100010001000,5
4381,0001000100011101,1011100010001000,5
4389,0001000100100101,1010010010001000,5
