residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
29181,0111000111111101,1011111110001110,5
29341,0111001010011101,1011100101001110,5
29629,0111001110111101,1011110111001110,5
29693,0111001111111101,1011111111001110,5
29925,0111010011100101,1010011100101110,5
30109,0111010110011101,1011100110101110,5
30461,0111011011111101,1011111101101110,5
30717,0111011111111101,1011111111101110,5
30829,0111100001101101,1011011000011110,5
30885,0111100010100101,1010010100011110,5
31229,0111100111111101,1011111110011110,5
31357,0111101001111101,1011111001011110,5
31397,0111101010100101,1010010101011110,5
31549,0111101100111101,1011110011011110,5
31741,0111101111111101,1011111111011110,5
31853,0111110001101101,1011011000111110,5
32157,0111110110011101,1011100110111110,5
32509,0111111011111101,1011111101111110,5
32685,0111111110101101,1011010111111110,5
32757,0111111111110101,1010111111111110,5
32765,0111111111111101,1011111111111110,5
32877,1000000001101101,1011011000000001,5
32957,1000000010111101,1011110100000001,5
33133,1000000101101101,1011011010000001,5
33213,1000000110111101,1011110110000001,5
33253,1000000111100101,1010011110000001,5
33405,1000001001111101,1011111001000001,5
33437,1000001010011101,1011100101000001,5
33669,1000001110000101,1010000111000001,5
33773,1000001111101101,1011011111000001,5
34045,1000010011111101,1011111100100001,5
34557,1000011011111101,1011111101100001,5
34733,1000011110101101,1011010111100001,5
34781,1000011111011101,1011101111100001,5
34813,1000011111111101,1011111111100001,5
35005,1000100010111101,1011110100010001,5
35317,1000100111110101,1010111110010001,5
35325,1000100111111101,1011111110010001,5
35493,1000101010100101,1010010101010001,5
35581,1000101011111101,1011111101010001,5
35741,1000101110011101,1011100111010001,5
35773,1000101110111101,1011110111010001,5
35837,1000101111111101,1011111111010001,5
36253,1000110110011101,1011100110110001,5
36397,1000111000101101,1011010001110001,5
36605,1000111011111101,1011111101110001,5
36733,1000111101111101,1011111011110001,5
36973,1001000001101101,1011011000001001,5
36989,1001000001111101,1011111000001001,5
37541,1001001010100101,1010010101001001,5
37821,1001001110111101,1011110111001001,5
37997,1001010001101101,1011011000101001,5
38109,1001010011011101,1011101100101001,5
38653,1001011011111101,1011111101101001,5
38781,1001011101111101,1011111011101001,5
38829,1001011110101101,1011010111101001,5
38909,1001011111111101,1011111111101001,5
39077,1001100010100101,1010010100011001,5
39101,1001100010111101,1011110100011001,5
39421,1001100111111101,1011111110011001,5
39549,1001101001111101,1011111001011001,5
39589,1001101010100101,1010010101011001,5
40045,1001110001101101,1011011000111001,5
40349,1001110110011101,1011100110111001,5
40613,1001111010100101,1010010101111001,5
40949,1001111111110101,1010111111111001,5
40957,1001111111111101,1011111111111001,5
41253,1010000100100101,1010010010000101,5
41325,1010000101101101,1011011010000101,5
41405,1010000110111101,1011110110000101,5
41469,1010000111111101,1011111110000101,5
41597,1010001001111101,1011111001000101,5
41637,1010001010100101,1010010101000101,5
41861,1010001110000101,1010000111000101,5
41917,1010001110111101,1011110111000101,5
42061,1010010001001101,1011001000100101,5
42397,1010010110011101,1011100110100101,5
42469,1010010111100101,1010011110100101,5
42605,1010011001101101,1011011001100101,5
42749,1010011011111101,1011111101100101,5
42877,1010011101111101,1011111011100101,5
43005,1010011111111101,1011111111100101,5
43517,1010100111111101,1011111110010101,5
43669,1010101010010101,1010100101010101,5
43685,1010101010100101,1010010101010101,5
43773,1010101011111101,1011111101010101,5
43933,1010101110011101,1011100111010101,5
44013,1010101111101101,1011011111010101,5
44285,1010110011111101,1011111100110101,5
44445,1010110110011101,1011100110110101,5
44541,1010110111111101,1011111110110101,5
44581,1010111000100101,1010010001110101,5
45029,1010111111100101,1010011111110101,5
45053,1010111111111101,1011111111110101,5
45181,1011000001111101,1011111000001101,5
45389,1011000101001101,1011001010001101,5
45469,1011000110011101,1011100110001101,5
45565,1011000111111101,1011111110001101,5
45693,1011001001111101,1011111001001101,5
46013,1011001110111101,1011110111001101,5
46061,1011001111101101,1011011111001101,5
46109,1011010000011101,1011100000101101,5
46189,1011010001101101,1011011000101101,5
46333,1011010011111101,1011111100101101,5
46493,1011010110011101,1011100110101101,5
47101,1011011111111101,1011111111101101,5
47325,1011100011011101,1011101100011101,5
47613,1011100111111101,1011111110011101,5
47781,1011101010100101,1010010101011101,5
48061,1011101110111101,1011110111011101,5
48125,1011101111111101,1011111111011101,5
48237,1011110001101101,1011011000111101,5
48541,1011110110011101,1011100110111101,5
48805,1011111010100101,1010010101111101,5
49141,1011111111110101,1010111111111101,5
49149,1011111111111101,1011111111111101,5
49317,1100000010100101,1010010100000011,5
49437,1100000100011101,1011100010000011,5
49597,1100000110111101,1011110110000011,5
49789,1100001001111101,1011111001000011,5
49885,1100001011011101,1011101101000011,5
50109,1100001110111101,1011110111000011,5
50157,1100001111101101,1011011111000011,5
50429,1100010011111101,1011111100100011,5
50661,1100010111100101,1010011110100011,5
50957,1100011100001101,1011000011100011,5
51133,1100011110111101,1011110111100011,5
51365,1100100010100101,1010010100010011,5
51565,1100100101101101,1011011010010011,5
51709,1100100111111101,1011111110010011,5
51773,1100101000111101,1011110001010011,5
51821,1100101001101101,1011011001010011,5
51837,1100101001111101,1011111001010011,5
51965,1100101011111101,1011111101010011,5
52101,1100101110000101,1010000111010011,5
52133,1100101110100101,1010010111010011,5
52157,1100101110111101,1011110111010011,5
52221,1100101111111101,1011111111010011,5
52637,1100110110011101,1011100110110011,5
52733,1100110111111101,1011111110110011,5
53245,1100111111111101,1011111111110011,5
53373,1101000001111101,1011111000001011,5
53613,1101000101101101,1011011010001011,5
53661,1101000110011101,1011100110001011,5
53797,1101001000100101,1010010001001011,5
53885,1101001001111101,1011111001001011,5
54149,1101001110000101,1010000111001011,5
54173,1101001110011101,1011100111001011,5
54205,1101001110111101,1011110111001011,5
54381,1101010001101101,1011011000101011,5
54605,1101010101001101,1011001010101011,5
54909,1101011001111101,1011111001101011,5
55037,1101011011111101,1011111101101011,5
55101,1101011100111101,1011110011101011,5
55461,1101100010100101,1010010100011011,5
55517,1101100011011101,1011101100011011,5
55813,1101101000000101,1010000001011011,5
55933,1101101001111101,1011111001011011,5
56221,1101101110011101,1011100111011011,5
56317,1101101111111101,1011111111011011,5
56357,1101110000100101,1010010000111011,5
56429,1101110001101101,1011011000111011,5
56989,1101111010011101,1011100101111011,5
56997,1101111010100101,1010010101111011,5
57165,1101111101001101,1011001011111011,5
57341,1101111111111101,1011111111111011,5
57709,1110000101101101,1011011010000111,5
57981,1110001001111101,1011111001000111,5
58245,1110001110000101,1010000111000111,5
58301,1110001110111101,1011110111000111,5
58653,1110010100011101,1011100010100111,5
58853,1110010111100101,1010011110100111,5
59053,1110011010101101,1011010101100111,5
59133,1110011011111101,1011111101100111,5
59325,1110011110111101,1011110111100111,5
59381,1110011111110101,1010111111100111,5
59389,1110011111111101,1011111111100111,5
59837,1110100110111101,1011110110010111,5
60013,1110101001101101,1011011001010111,5
60069,1110101010100101,1010010101010111,5
60317,1110101110011101,1011100111010111,5
60525,1110110001101101,1011011000110111,5
60925,1110110111111101,1011111110110111,5
61213,1110111100011101,1011100011110111,5
61349,1110111110100101,1010010111110111,5
61429,1110111111110101,1010111111110111,5
61437,1110111111111101,1011111111110111,5
61853,1111000110011101,1011100110001111,5
61885,1111000110111101,1011110110001111,5
61989,1111001000100101,1010010001001111,5
62077,1111001001111101,1011111001001111,5
62205,1111001011111101,1011111101001111,5
62381,1111001110101101,1011010111001111,5
62461,1111001111111101,1011111111001111,5
62653,1111010010111101,1011110100101111,5
62797,1111010101001101,1011001010101111,5
63093,1111011001110101,1010111001101111,5
63101,1111011001111101,1011111001101111,5
63229,1111011011111101,1011111101101111,5
63485,1111011111111101,1011111111101111,5
63613,1111100001111101,1011111000011111,5
63709,1111100011011101,1011101100011111,5
63909,1111100110100101,1010010110011111,5
63997,1111100111111101,1011111110011111,5
64165,1111101010100101,1010010101011111,5
64253,1111101011111101,1011111101011111,5
64317,1111101100111101,1011110011011111,5
64509,1111101111111101,1011111111011111,5
64621,1111110001101101,1011011000111111,5
64925,1111110110011101,1011100110111111,5
65525,1111111111110101,1010111111111111,5
65533,1111111111111101,1011111111111111,5
