residue,count,avg_total_steps,avg_stopping_time,max_total_steps,argmax_total_steps,max_stopping_time,argmax_stopping_time,max_value,argmax_max_value
150,3906,119.245264,1.0,332,531862,1,150,1570824736,981910
151,3906,119.245264,8.0,332,531863,8,151,1570824736,981911
152,3906,118.219662,1.0,320,962712,1,152,106358020,567960
153,3906,131.421915,3.0,356,885401,3,153,1570824736,981913
154,3906,118.219662,1.0,320,962714,1,154,106358020,567962
155,3906,155.158474,28.349718,508,626331,287,626331,7222283188,626331
156,3906,142.504864,1.0,444,922524,1,156,2482111348,453532
157,3906,142.504864,3.0,444,922525,3,157,2482111348,453533
158,3906,142.504864,1.0,444,922526,1,158,2482111348,453534
159,3906,168.75448,40.190732,467,767903,264,405407,24648077896,405407
160,3906,95.752432,1.0,268,789920,1,160,8153620,587680
161,3906,143.711214,3.0,431,875681,3,161,1570824736,981921
162,3906,131.076293,1.0,356,821666,1,162,593279152,650402
163,3906,131.076293,6.0,356,821667,6,163,593279152,650403
164,3906,143.531234,1.0,369,962468,1,164,17202377752,850596
165,3906,143.531234,3.0,369,962469,3,165,17202377752,850597
166,3906,143.531234,1.0,369,962470,1,166,17202377752,850598
167,3906,156.244496,28.471582,524,837799,215,756903,7597578112,975015
168,3906,95.752432,1.0,268,789928,1,168,8153620,587688
169,3906,169.128008,3.0,444,886953,3,169,52483285312,886953
170,3906,95.752432,1.0,268,789930,1,170,8153620,587690
171,3906,144.594214,8.0,399,438699,8,171,2649041476,620971
172,3906,132.458781,1.0,356,844204,1,172,2482111348,537516
173,3906,132.458781,3.0,356,844205,3,173,2482111348,537517
174,3906,132.458781,1.0,356,844206,1,174,2482111348,537518
175,3906,144.331541,13.0,418,854191,13,175,24648077896,854191
176,3906,118.352279,1.0,325,855728,1,176,121012864,765872
177,3906,118.771633,3.0,325,844977,3,177,1570824736,736433
178,3906,118.771633,1.0,325,844978,1,178,1570824736,736434
179,3906,118.771633,6.0,325,844979,6,179,1570824736,736435
180,3906,118.352279,1.0,325,855732,1,180,121012864,765876
181,3906,118.352279,3.0,325,855733,3,181,121012864,765877
182,3906,143.372248,1.0,441,691894,1,182,2482111348,340150
183,3906,143.372248,8.0,441,691895,8,183,2482111348,340151
184,3906,118.352279,1.0,325,855736,1,184,121012864,765880
185,3906,131.179211,3.0,369,926649,3,185,1570824736,736441
186,3906,118.352279,1.0,325,855738,1,186,121012864,765882
187,3906,144.848182,11.0,369,926651,11,187,17202377752,378043
188,3906,144.046083,1.0,387,865468,1,188,2512193776,816060
189,3906,144.046083,3.0,387,865469,3,189,2512193776,816061
190,3906,144.046083,1.0,387,865470,1,190,2512193776,816062
191,3906,169.041987,40.823349,469,511935,267,270271,52483285312,997823
192,3906,107.0,1.0,281,848320,1,192,27114424,618432
193,3906,130.59447,3.0,358,547777,3,193,2482111348,955585
194,3906,144.248336,1.0,413,960962,1,194,24648077896,960962
195,3906,144.248336,6.0,413,960963,6,195,24648077896,960963
196,3906,107.996672,1.0,294,901316,1,196,50143264,939204
197,3906,107.996672,3.0,294,901317,3,197,50143264,939205
198,3906,107.996672,1.0,294,901318,1,198,50143264,939206
199,3906,144.552227,13.0,383,324551,13,199,2482111348,955591
200,3906,119.114183,1.0,312,879048,1,200,593279152,879048
201,3906,132.21787,3.0,395,987081,3,201,2482111348,358345
202,3906,119.114183,1.0,312,879050,1,202,593279152,879050
203,3906,131.429852,8.0,366,694987,8,203,1570824736,490955
204,3906,119.114183,1.0,312,879052,1,204,593279152,879052
205,3906,119.114183,3.0,312,879053,3,205,593279152,879053
206,3906,154.068868,1.0,443,461262,1,206,24648077896,577230
207,3906,154.068868,28.333333,443,461263,264,724687,24648077896,577231
208,3906,107.0,1.0,281,848336,1,208,27114424,618448
209,3906,130.556324,3.0,355,410833,3,209,593279152,879057
210,3906,143.330261,1.0,392,740306,1,210,2154884632,568274
211,3906,143.330261,6.0,392,740307,6,211,2154884632,568275
212,3906,107.0,1.0,281,848340,1,212,27114424,618452
213,3906,107.0,3.0,281,848341,3,213,27114424,618453
214,3906,144.334613,1.0,392,740310,1,214,2482111348,268758
215,3906,144.334613,8.0,392,740311,8,215,2482111348,268759
216,3906,129.803379,1.0,351,924376,1,216,1570824736,932056
217,3906,119.103175,3.0,332,507097,3,217,121012864,453849
218,3906,129.803379,1.0,351,924378,1,218,1570824736,932058
219,3906,142.5553,13.0,361,758491,13,219,2798323360,777435
220,3906,129.803379,1.0,351,924380,1,220,1570824736,932060
221,3906,129.803379,3.0,351,924381,3,221,1570824736,932061
222,3906,155.201997,1.0,389,555230,1,222,6973568800,919518
223,3906,155.201997,28.353559,389,555231,176,408031,6973568800,919519
224,3906,117.606247,1.0,312,851936,1,224,106358020,851936
225,3906,156.213774,3.0,412,480481,3,225,24648077896,480481
226,3906,107.0,1.0,281,848354,1,226,27114424,618466
227,3906,107.0,6.0,281,848355,6,227,27114424,618467
228,3906,130.675371,1.0,374,855524,1,228,593279152,439524
229,3906,130.675371,3.0,374,855525,3,229,593279152,439525
230,3906,130.675371,1.0,374,855526,1,230,593279152,439526
231,3906,154.64977,28.431132,442,230631,225,856551,6973568800,689639
232,3906,117.606247,1.0,312,851944,1,232,106358020,851944
233,3906,155.633385,3.0,506,939497,3,233,7222283188,939497
234,3906,117.606247,1.0,312,851946,1,234,106358020,851946
235,3906,156.179467,8.0,431,871915,8,235,23996686912,924907
236,3906,130.627496,1.0,376,570348,1,236,593279152,570348
237,3906,130.627496,3.0,376,570349,3,237,593279152,570349
238,3906,130.627496,1.0,376,570350,1,238,593279152,570350
239,3906,166.615463,40.18894,431,919791,285,667375,17202377752,807407
240,3906,130.335637,1.0,343,840432,1,240,593279152,975600
241,3906,117.606247,3.0,312,851953,3,241,106358020,851953
242,3906,143.325909,1.0,374,796914,1,242,1241684152,776178
243,3906,143.325909,6.0,374,796915,6,243,1241684152,776179
244,3906,130.335637,1.0,343,840436,1,244,593279152,975604
245,3906,130.335637,3.0,343,840437,3,245,593279152,975605
246,3906,142.681516,1.0,375,285174,1,246,2154884632,958966
247,3906,142.681516,8.0,375,285175,8,247,2154884632,958967
248,3906,143.680492,1.0,356,849912,1,248,593279152,556280
249,3906,142.366359,3.0,382,936953,3,249,17202377752,504057
250,3906,143.680492,1.0,356,849914,1,250,593279152,556282
251,3906,155.268817,28.385561,392,772859,189,569595,6973568800,581883
252,3906,155.767281,1.0,384,624636,1,252,17202377752,637948
253,3906,155.767281,3.0,384,624637,3,253,17202377752,637949
254,3906,168.431132,1.0,418,847358,1,254,24648077896,974078
255,3906,181.763441,53.012033,449,818943,272,401151,56991483520,704511
