residue,count,avg_total_steps,avg_stopping_time,max_total_steps,argmax_total_steps,max_stopping_time,argmax_stopping_time,max_value,argmax_max_value
0,3906,82.749872,1.0,245,950016,1,256,1276936,465664
1,3907,130.634246,3.0,366,649217,3,257,2482111348,849409
2,3907,132.449706,1.0,364,973826,1,2,1543980040,814338
3,3907,132.451241,6.0,364,973827,6,3,1543980040,814339
4,3907,119.754799,1.0,335,709124,1,4,106358020,252420
5,3907,119.755567,3.0,335,709125,3,5,106358020,252421
6,3907,119.756335,1.0,335,709126,1,6,106358020,252422
7,3907,144.734067,11.0,378,355591,11,7,2512193776,483591
8,3907,119.985155,1.0,322,641800,1,8,593279152,988936
9,3907,144.490658,3.0,438,518921,3,9,2030295616,677641
10,3907,119.985923,1.0,322,641802,1,10,593279152,988938
11,3907,132.505759,8.0,374,805643,8,11,521790496,232203
12,3907,119.986691,1.0,322,641804,1,12,593279152,988940
13,3907,119.986691,3.0,322,641805,3,13,593279152,988941
14,3907,132.005119,1.0,379,711182,1,14,2512193776,967182
15,3907,132.005119,11.0,379,711183,11,15,2512193776,967183
16,3907,106.842334,1.0,317,757264,1,16,106358020,757264
17,3907,119.987458,3.0,322,641809,3,17,593279152,988945
18,3907,143.982339,1.0,382,948242,1,18,2482111348,302354
19,3907,143.982339,6.0,382,948243,6,19,2482111348,302355
20,3907,106.843102,1.0,317,757268,1,20,106358020,757268
21,3907,106.843102,3.0,317,757269,3,21,106358020,757269
22,3907,132.64346,1.0,361,755478,1,22,593279152,988950
23,3907,132.64346,8.0,361,755479,8,23,593279152,988951
24,3907,106.84387,1.0,317,757272,1,24,106358020,757272
25,3907,144.459688,3.0,392,769305,3,25,17202377752,567065
26,3907,106.84387,1.0,317,757274,1,26,106358020,757274
27,3907,168.693371,40.746609,475,910107,264,543515,24648077896,432923
28,3907,132.69721,1.0,348,770844,1,28,593279152,365852
29,3907,132.69721,3.0,348,770845,3,29,593279152,365853
30,3907,132.69721,1.0,348,770846,1,30,593279152,365854
31,3907,155.798055,28.660353,387,855583,282,381727,12601065832,656415
32,3907,106.840799,1.0,286,752928,1,32,27114424,732960
33,3907,132.255439,3.0,348,770849,3,33,2030295616,939041
34,3907,119.29076,1.0,338,939298,1,34,521790496,696610
35,3907,119.29076,6.0,338,939299,6,35,521790496,696611
36,3907,131.886614,1.0,361,781860,1,36,2482111348,604708
37,3907,131.886614,3.0,361,781861,3,37,2482111348,604709
38,3907,131.886614,1.0,361,781862,1,38,2482111348,604710
39,3907,143.201945,13.0,400,912167,13,39,24648077896,912167
40,3907,106.841566,1.0,286,752936,1,40,27114424,732968
41,3907,155.704633,3.0,423,738857,3,41,2649041476,726057
42,3907,106.841566,1.0,286,752938,1,42,27114424,732970
43,3907,131.632966,8.0,344,289067,8,43,593279152,289067
44,3907,119.897364,1.0,348,747052,1,44,521790496,928812
45,3907,119.897364,3.0,348,747053,3,45,521790496,928813
46,3907,119.897364,1.0,348,747054,1,46,521790496,928814
47,3907,156.40773,28.52342,385,216367,223,434223,12601065832,984623
48,3907,106.842334,1.0,286,752944,1,48,27114424,732976
49,3907,132.159201,3.0,348,747057,3,49,593279152,586033
50,3907,132.159201,1.0,348,747058,1,50,593279152,586034
51,3907,132.159201,6.0,348,747059,6,51,593279152,586035
52,3907,106.842334,1.0,286,752948,1,52,27114424,732980
53,3907,106.842334,3.0,286,752949,3,53,27114424,732981
54,3907,155.015869,1.0,449,820022,1,54,24648077896,865846
55,3907,155.015869,8.0,449,820023,8,55,24648077896,865847
56,3907,130.969286,1.0,353,616248,1,56,2482111348,907064
57,3907,144.113898,3.0,395,998969,3,57,2649041476,827961
58,3907,130.969286,1.0,353,616250,1,58,2482111348,907066
59,3907,130.248784,11.0,343,801339,11,59,2798323360,437307
60,3907,130.969286,1.0,353,616252,1,60,2482111348,907068
61,3907,130.969286,3.0,353,616253,3,61,2482111348,907069
62,3907,156.079345,1.0,405,789310,1,62,24648077896,810814
63,3907,156.079345,28.202201,405,789311,176,913727,24648077896,810815
64,3907,95.595086,1.0,265,592448,1,64,8153620,391744
65,3906,119.198669,3.0,327,587841,3,65,593279152,781377
66,3906,132.275474,1.0,361,750402,1,66,593279152,781378
67,3906,132.275474,6.0,361,750403,6,67,593279152,781379
68,3906,118.670507,1.0,330,760644,1,68,121012864,680772
69,3906,118.670507,3.0,330,760645,3,69,121012864,680773
70,3906,118.670507,1.0,330,760646,1,70,121012864,680774
71,3906,157.196877,28.856631,435,389191,225,495687,2798323360,700487
72,3906,131.103431,1.0,330,760648,1,72,1570824736,828488
73,3906,143.126728,3.0,378,380233,3,73,942408916,620617
74,3906,131.103431,1.0,330,760650,1,74,1570824736,828490
75,3906,118.670507,8.0,330,760651,8,75,121012864,680779
76,3906,131.103431,1.0,330,760652,1,76,1570824736,828492
77,3906,131.103431,3.0,330,760653,3,77,1570824736,828493
78,3906,143.356887,1.0,387,832846,1,78,2154884632,639310
79,3906,143.356887,13.0,387,832847,13,79,2154884632,639311
80,3906,95.581413,1.0,265,592464,1,80,8153620,391760
81,3906,144.505632,3.0,387,832849,3,81,2482111348,861009
82,3906,156.976959,1.0,410,720722,1,82,24648077896,720722
83,3906,156.976959,6.0,410,720723,6,83,24648077896,720723
84,3906,95.581413,1.0,265,592468,1,84,8153620,391764
85,3906,95.581413,3.0,265,592469,3,85,8153620,391765
86,3906,131.880696,1.0,400,877398,1,86,593279152,578134
87,3906,131.880696,8.0,400,877399,8,87,593279152,578135
88,3906,120.319252,1.0,338,945496,1,88,593279152,659288
89,3906,131.309268,3.0,361,787033,3,89,2798323360,655961
90,3906,120.319252,1.0,338,945498,1,90,593279152,659290
91,3906,154.072709,28.232207,440,345947,205,732251,2482111348,170075
92,3906,120.319252,1.0,338,945500,1,92,593279152,659292
93,3906,120.319252,3.0,338,945501,3,93,593279152,659293
94,3906,144.0553,1.0,386,432734,1,94,2798323360,933982
95,3906,144.0553,13.0,386,432735,13,95,2798323360,933983
96,3906,106.479519,1.0,278,636256,1,96,27114424,549728
97,3906,144.199181,3.0,384,632161,3,97,2482111348,201569
98,3906,119.605735,1.0,330,797794,1,98,106358020,673122
99,3906,119.605735,6.0,330,797795,6,99,106358020,673123
100,3906,119.605735,1.0,330,797796,1,100,106358020,673124
101,3906,119.605735,3.0,330,797797,3,101,106358020,673125
102,3906,119.605735,1.0,330,797798,1,102,106358020,673126
103,3906,166.972094,40.109319,457,970599,269,362343,24648077896,288615
104,3906,106.479519,1.0,278,636264,1,104,27114424,549736
105,3906,143.625448,3.0,446,615017,3,105,24648077896,769641
106,3906,106.479519,1.0,278,636266,1,106,27114424,549738
107,3906,143.763697,8.0,433,583787,8,107,2482111348,775787
108,3906,142.123912,1.0,371,641644,1,108,2482111348,680300
109,3906,142.123912,3.0,371,641645,3,109,2482111348,680301
110,3906,142.123912,1.0,371,641646,1,110,2482111348,680302
111,3906,155.881976,28.376088,503,704623,282,704623,24648077896,608111
112,3906,117.910906,1.0,327,570480,1,112,121012864,510576
113,3906,106.479519,3.0,278,636273,3,113,27114424,549745
114,3906,132.135433,1.0,358,562802,1,114,849026824,895602
115,3906,132.135433,6.0,358,562803,6,115,849026824,895603
116,3906,117.910906,1.0,327,570484,1,116,121012864,510580
117,3906,117.910906,3.0,327,570485,3,117,121012864,510581
118,3906,131.52765,1.0,351,913782,1,118,17202377752,756086
119,3906,131.52765,8.0,351,913783,8,119,17202377752,756087
120,3906,131.166411,1.0,342,420216,1,120,720170836,759672
121,3906,156.347926,3.0,451,546681,3,121,6973568800,872825
122,3906,131.166411,1.0,342,420218,1,122,720170836,759674
123,3906,143.717358,13.0,436,775035,13,123,23996686912,822139
124,3906,143.616743,1.0,361,759420,1,124,2482111348,645756
125,3906,143.616743,3.0,361,759421,3,125,2482111348,645757
126,3906,156.755504,1.0,407,526206,1,126,24648077896,540542
127,3906,169.417563,40.683308,441,665215,269,601727,52483285312,665215
128,3906,95.751664,1.0,268,789888,1,128,8153620,587648
129,3906,145.310804,3.0,415,640641,3,129,24648077896,640641
130,3906,118.533026,1.0,343,867202,1,130,593279152,867202
131,3906,118.533026,6.0,343,867203,6,131,593279152,867203
132,3906,132.422171,1.0,343,867204,1,132,2798323360,983940
133,3906,132.422171,3.0,343,867205,3,133,2798323360,983941
134,3906,132.422171,1.0,343,867206,1,134,2798323360,983942
135,3906,130.390681,11.0,382,982663,11,135,1570824736,327303
136,3906,107.118792,1.0,286,754056,1,136,50143264,891528
137,3906,155.59959,3.0,397,686985,3,137,2482111348,151177
138,3906,107.118792,1.0,286,754058,1,138,50143264,891530
139,3906,145.115975,8.0,376,533387,8,139,2798323360,983947
140,3906,107.118792,1.0,286,754060,1,140,50143264,891532
141,3906,107.118792,3.0,286,754061,3,141,50143264,891533
142,3906,145.02893,1.0,436,778382,1,142,2030295616,834702
143,3906,145.02893,11.0,436,778383,11,143,2030295616,834703
144,3906,118.219662,1.0,320,962704,1,144,106358020,567952
145,3906,131.427803,3.0,379,760465,3,145,2482111348,716689
146,3906,131.427803,1.0,379,760466,1,146,2482111348,716690
147,3906,131.427803,6.0,379,760467,6,147,2482111348,716691
148,3906,118.219662,1.0,320,962708,1,148,106358020,567956
149,3906,118.219662,3.0,320,962709,3,149,106358020,567957
