bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
depth_01,2499999,2499999,0.4999998,0.5004354,-0.0004356,0.0004472136,-0.00131214,0.00044094,-0.974032,0.28627331,0.28621611,5.72e-05,0.0004042858,-0.0007352,0.0008496,0.141484,1.9999972,1.999274,0.0007232
depth_02,715683,715540,0.50000908,0.49946614,0.00054294,0.0008358844,-0.00109539,0.00218128,0.649545,0.28629016,0.28618107,0.00010909,0.0007556412,-0.00137196,0.00159015,0.144372,1.99996227,1.99843475,0.00152753
depth_03,349877,349435,0.49996142,0.49980969,0.00015172,0.0011958166,-0.00219208,0.00249552,0.126878,0.28615771,0.28610185,5.586e-05,0.0010809006,-0.00206271,0.00217442,0.051676,2.0002115,1.99928456,0.00092694
depth_04,220249,219660,0.49977525,0.50065101,-0.00087575,0.0015077133,-0.00383087,0.00207937,-0.580848,0.28671186,0.28578713,0.00092473,0.0013629943,-0.00174674,0.0035962,0.678457,1.99951419,1.99788309,0.00163109
depth_05,150596,149881,0.49976759,0.49896251,0.00080508,0.0018242952,-0.00277054,0.0043807,0.44131,0.28612314,0.28754145,-0.00141831,0.0016501966,-0.0046527,0.00181607,-0.859481,1.99870514,1.99925941,-0.00055427
depth_06,105819,105146,0.50043943,0.50450802,-0.00406859,0.0021771486,-0.0083358,0.00019862,-1.868769,0.28839811,0.2843665,0.00403161,0.0019684558,0.00017344,0.00788979,2.04811,1.99322428,1.98995682,0.00326746
depth_07,76223,75797,0.50162025,0.50020449,0.00141575,0.0025647804,-0.00361122,0.00644272,0.551997,0.28469097,0.28615908,-0.00146811,0.0023166031,-0.00600865,0.00307243,-0.633734,2.00498537,2.0009631,0.00402227
depth_08,55491,55369,0.50624426,0.4986003,0.00764396,0.0030032747,0.00175754,0.01353037,2.545207,0.27941468,0.28864527,-0.00923059,0.002708644,-0.01453953,-0.00392165,-3.407827,1.9895839,2.00971663,-0.02013273
depth_09,41431,41571,0.49931211,0.50032475,-0.00101264,0.0034710118,-0.00781582,0.00579055,-0.291741,0.28609013,0.28469366,0.00139647,0.0031350259,-0.00474818,0.00754112,0.445441,2.00627549,1.99668038,0.00959512
depth_10,31582,31746,0.50129821,0.5031185,-0.0018203,0.0039737325,-0.00960881,0.00596822,-0.458082,0.27898803,0.28327978,-0.00429175,0.0035727828,-0.01129441,0.0027109,-1.201235,1.9810335,1.99077049,-0.00973699
depth_11,24215,24410,0.50055751,0.49151987,0.00903764,0.0045346361,0.00014975,0.01792552,1.993024,0.28308899,0.29192954,-0.00884054,0.0041047859,-0.01688592,-0.00079516,-2.153716,1.9936816,2.02945514,-0.03577354
depth_12,18674,18927,0.50016065,0.50562688,-0.00546623,0.0051569921,-0.01557394,0.00464147,-1.059965,0.29163543,0.28472552,0.0069099,0.004671487,-0.00224621,0.01606602,1.479166,1.9996787,2.00184921,-0.00217051
depth_13,14473,14694,0.50597665,0.49013203,0.01584462,0.0058547584,0.00436929,0.02731995,2.706281,0.28459891,0.2905948,-0.00599589,0.0053006827,-0.01638523,0.00439345,-1.131155,1.97940994,2.01082074,-0.03141081
depth_14,11361,11657,0.50462107,0.49832719,0.00629389,0.0065916103,-0.00662567,0.01921344,0.954833,0.28025702,0.28849618,-0.00823916,0.0059467382,-0.01989477,0.00341644,-1.385493,1.9909339,2.01098053,-0.02004663
depth_15,9011,9259,0.50893353,0.49789394,0.01103958,0.0073983301,-0.00346114,0.02554031,1.492172,0.2751082,0.28836807,-0.01325987,0.0066554223,-0.0263045,-0.00021525,-1.992341,1.98357563,1.98693163,-0.003356
depth_16,7112,7386,0.50618673,0.49715678,0.00902994,0.0083062145,-0.00725024,0.02531012,1.087131,0.27910574,0.28310317,-0.00399743,0.0074678953,-0.01863451,0.01063964,-0.535282,1.98284589,2.00500948,-0.02216358
depth_17,5644,5863,0.50248051,0.49530957,0.00717094,0.0093236404,-0.01110339,0.02544528,0.769114,0.28614458,0.28910114,-0.00295656,0.0084407165,-0.01950037,0.01358724,-0.350274,2.02037562,2.00869862,0.011677
depth_18,4467,4692,0.50235057,0.49573743,0.00661315,0.0104519398,-0.01387266,0.02709895,0.632719,0.29370942,0.29369139,1.804e-05,0.0095210292,-0.01864318,0.01867925,0.001894,1.96709201,2.02109974,-0.05400774
depth_19,3597,3826,0.51209341,0.50209096,0.01000245,0.0116104675,-0.01275406,0.03275897,0.861503,0.29580206,0.27861997,0.01718209,0.0105091941,-0.00341593,0.03778011,1.634958,1.95968863,1.96941976,-0.00973113
depth_20,2939,3107,0.49914937,0.50209205,-0.00294268,0.0128656427,-0.02815934,0.02227398,-0.228724,0.29363729,0.28644995,0.00718734,0.0116772813,-0.01570013,0.03007481,0.615498,2.00544403,1.98068877,0.02475526
depth_21_plus,12840,14223,0.51596573,0.4963791,0.01958663,0.0060849646,0.0076601,0.03151316,3.218856,0.28130841,0.2907966,-0.00948819,0.0054996062,-0.02026741,0.00129104,-1.725248,1.95443925,2.01581945,-0.0613802
