source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,margin_0_0p25,3041940,0.50021368,0.00021368,0.28622918,1.99956541,1.99997995,-0.575526456762,0.025463720576,-0.550062736182
real,margin_0_0p25,3042169,0.50003534,3.534e-05,0.28622013,2.00000756,2.00002334,-0.575375866336,0.025448437939,-0.549927428397
model,margin_0p25_0p5,148596,0.50057875,0.00057875,0.28636706,1.99770519,2.00503378,-0.579783763822,0.385305434281,-0.194478329541
real,margin_0p25_0p5,148700,0.50049765,0.00049765,0.28585743,1.99890383,1.99941493,-0.575402178348,0.385143557706,-0.190258620642
model,margin_0p5_1,515318,0.50030467,0.00030467,0.28643284,1.99695334,2.00144959,-0.577604239688,0.699265819718,0.12166158003
real,margin_0p5_1,515595,0.50020074,0.00020074,0.28610828,2.00023274,1.99994957,-0.575234115641,0.699109978597,0.123875862956
model,margin_1_2,415823,0.50036434,0.00036434,0.28527282,1.99722719,1.99903805,-0.575821653021,1.430444149632,0.854622496611
real,margin_1_2,416891,0.50006357,6.357e-05,0.28605799,1.99775481,2.00251145,-0.578014784352,1.430440845715,0.852426061364
model,margin_2_4,206164,0.50019887,0.00019887,0.28648552,2.00004365,2.00402592,-0.578137000367,2.700226402325,2.122089401956
real,margin_2_4,205079,0.50406429,0.00406429,0.28461715,1.98814116,2.00425202,-0.583119567137,2.694013219895,2.110893652758
model,margin_4_plus,34347,0.49058142,-0.00941858,0.29405771,2.02605759,1.9900428,-0.557896895726,5.002977963512,4.445081067786
real,margin_4_plus,32849,0.49520533,-0.00479467,0.28850193,2.00901093,2.01220737,-0.580172027118,4.969103376568,4.38893134945
