source,samples,drop_fraction,one_fraction,maxed_fraction,mean_blocks,median_blocks,p90_blocks,p99_blocks,p999_blocks,max_blocks,mean_max_odd_ratio,p99_max_odd_ratio,max_odd_ratio,mean_max_peak_ratio,p99_max_peak_ratio,max_peak_ratio,median_final_log_ratio
real,499999,0.999966,3.4e-05,0.0,1.742153,1.0,3.0,10.0,20.0,41,2.769945,20.806713,13482.586161,16.234019,124.838813,107860.689285,-0.718158712187
model,499999,1.0,0.0,0.0,1.746125,1.0,3.0,10.0,21.0,54,4.839794,21.62439,303647.413988,28.92276,129.746338,2429179.311905,-0.704610081564
