bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
margin_0_0p25,3042169,3041940,0.50003534,0.50021368,-0.00017834,0.0004054166,-0.00097296,0.00061627,-0.4399,0.28622013,0.28622918,-9.05e-06,0.0003664931,-0.00072738,0.00070927,-0.024707,2.00000756,1.99956541,0.00044215
margin_0p25_0p5,148700,148596,0.50049765,0.50057875,-8.11e-05,0.001834025,-0.00367579,0.00351358,-0.044222,0.28585743,0.28636706,-0.00050963,0.0016577485,-0.00375882,0.00273956,-0.307424,1.99890383,1.99770519,0.00119865
margin_0p5_1,515595,515318,0.50020074,0.50030467,-0.00010393,0.0009848928,-0.00203432,0.00182646,-0.105521,0.28610828,0.28643284,-0.00032456,0.0008903774,-0.0020697,0.00142058,-0.36452,2.00023274,1.99695334,0.0032794
margin_1_2,416891,415823,0.50006357,0.50036434,-0.00030077,0.0010958532,-0.00244864,0.0018471,-0.274464,0.28605799,0.28527282,0.00078517,0.0009900604,-0.00115535,0.00272568,0.793049,1.99775481,1.99722719,0.00052762
margin_2_4,205079,206164,0.50406429,0.50019887,0.00386542,0.0015593552,0.00080908,0.00692175,2.478856,0.28461715,0.28648552,-0.00186837,0.0014086653,-0.00462935,0.00089262,-1.32634,1.98814116,2.00004365,-0.0119025
margin_4_plus,32849,34347,0.49520533,0.49058142,0.00462391,0.0038582321,-0.00293822,0.01218605,1.198454,0.28850193,0.29405771,-0.00555577,0.0035060937,-0.01242772,0.00131617,-1.584605,2.00901093,2.02605759,-0.01704666
