residue,count,avg_total_steps,avg_stopping_time,max_total_steps,argmax_total_steps,max_stopping_time,argmax_stopping_time,max_value,argmax_max_value
0,781,64.078105,1.0,177,89984,1,128,250504,89984
1,782,114.015345,3.0,316,63105,3,129,106358020,63105
2,782,103.074169,1.0,272,59650,1,2,8153620,21762
3,782,103.081841,6.0,272,59651,6,3,8153620,21763
4,782,102.231458,1.0,270,89476,1,4,8153620,32644
5,782,102.235294,3.0,270,89477,3,5,8153620,32645
6,782,102.23913,1.0,270,89478,1,6,8153620,32646
7,782,115.436061,11.0,319,81159,11,7,18976192,81159
8,782,92.098465,1.0,208,89864,1,8,8153620,65288
9,782,128.122762,3.0,327,99721,3,9,121012864,80777
10,782,92.102302,1.0,208,89866,1,10,8153620,65290
11,782,113.670077,8.0,270,89483,8,11,9565936,58251
12,782,92.106138,1.0,208,89868,1,12,8153620,65292
13,782,92.106138,3.0,208,89869,3,13,8153620,65293
14,782,114.638107,1.0,324,71310,1,14,41163712,71310
15,782,114.638107,11.0,324,71311,11,15,41163712,71311
16,782,90.002558,1.0,208,90768,1,16,8153620,97936
17,782,103.251918,3.0,272,58513,3,17,8153620,65297
18,782,112.09335,1.0,288,84498,1,18,9635920,84498
19,782,112.09335,6.0,288,84499,6,19,9635920,84499
20,782,90.006394,1.0,208,90772,1,20,8153620,97940
21,782,90.006394,3.0,208,90773,3,21,8153620,97941
22,782,103.648338,1.0,257,86294,1,22,8153620,65302
23,782,103.648338,8.0,257,86295,8,23,8153620,65303
24,782,90.01023,1.0,208,90776,1,24,8153620,97944
25,782,113.180307,3.0,285,62745,3,25,27114424,61081
26,782,90.01023,1.0,208,90778,1,26,8153620,97946
27,782,134.686701,34.2289,329,63387,200,57115,521790496,65307
28,782,111.859335,1.0,277,53020,1,28,9635920,81308
29,782,111.859335,3.0,277,53021,3,29,9635920,81309
30,782,111.859335,1.0,277,53022,1,30,9635920,81310
31,782,137.881074,34.2711,321,56095,197,84383,593279152,69535
32,782,77.355499,1.0,190,99104,1,32,1276936,77600
33,781,114.427657,3.0,283,93345,3,33,30578632,80545
34,781,103.085787,1.0,267,65826,1,34,8153620,97954
35,781,103.085787,6.0,267,65827,6,35,8153620,97955
36,781,113.12548,1.0,283,94116,1,36,11003416,94116
37,781,113.12548,3.0,283,94117,3,37,11003416,94117
38,781,113.12548,1.0,283,94118,1,38,11003416,94118
39,781,124.834827,20.816901,324,74791,119,18599,121012864,31911
40,781,77.294494,1.0,190,99112,1,40,1276936,77608
41,781,137.790013,3.0,324,74793,3,41,593279152,92713
42,781,77.294494,1.0,190,99114,1,42,1276936,77610
43,781,115.674776,8.0,288,80299,8,43,30578632,71595
44,781,101.512164,1.0,275,79532,1,44,6810136,38828
45,781,101.512164,3.0,275,79533,3,45,6810136,38829
46,781,101.512164,1.0,275,79534,1,46,6810136,38830
47,781,127.824584,20.791293,339,52527,207,60975,593279152,60975
48,781,90.964149,1.0,265,98736,1,48,1276936,29104
49,781,101.038412,3.0,283,94257,3,49,8153620,58033
50,781,101.038412,1.0,283,94258,1,50,8153620,58034
51,781,101.038412,6.0,283,94259,6,51,8153620,58035
52,781,90.964149,1.0,265,98740,1,52,1276936,29108
53,781,90.964149,3.0,265,98741,3,53,1276936,29109
54,781,122.902689,1.0,275,79414,1,54,50143264,74294
55,781,122.902689,8.0,275,79415,8,55,50143264,74295
56,781,102.822023,1.0,265,98744,1,56,8153620,55096
57,781,114.241997,3.0,275,80697,3,57,62710036,89401
58,781,102.822023,1.0,265,98746,1,58,8153620,55098
59,781,113.279129,11.0,284,31419,11,59,50143264,78267
60,781,113.832266,1.0,280,70588,1,60,27114424,86972
61,781,113.832266,3.0,280,70589,3,61,27114424,86973
62,781,124.697823,1.0,296,97854,1,62,50143264,41790
63,781,139.107554,34.898848,311,70335,202,56255,593279152,99007
64,781,77.014085,1.0,187,74304,1,64,250504,44992
65,781,101.645327,3.0,275,78017,3,65,9198520,88513
66,781,113.169014,1.0,314,94658,1,66,106358020,94658
67,781,113.169014,6.0,314,94659,6,67,106358020,94659
68,781,90.379001,1.0,244,79172,1,68,1276936,54468
69,781,90.379001,3.0,244,79173,3,69,1276936,54469
70,781,90.379001,1.0,244,79174,1,70,1276936,54470
71,781,127.992318,20.683739,337,78791,220,35655,593279152,91463
72,781,101.596671,1.0,262,74056,1,72,8153620,48968
73,781,113.294494,3.0,288,83785,3,73,6980632,47177
74,781,101.596671,1.0,262,74058,1,74,8153620,48970
75,781,102.883483,8.0,288,83659,8,75,11003416,83659
76,781,101.596671,1.0,262,74060,1,76,8153620,48972
77,781,101.596671,3.0,262,74061,3,77,8153620,48973
78,781,121.798976,1.0,296,99150,1,78,121012864,63822
79,781,121.798976,20.483995,296,99151,119,15055,121012864,63823
80,781,77.017926,1.0,187,74320,1,80,250504,45008
81,781,113.15749,3.0,275,80209,3,81,27114424,51537
82,781,124.710627,1.0,311,70994,1,82,106358020,70994
83,781,124.710627,6.0,311,70995,6,83,106358020,70995
84,781,77.017926,1.0,187,74324,1,84,250504,45012
85,781,77.017926,3.0,187,74325,3,85,299776,99925
86,781,112.102433,1.0,283,92886,1,86,9635920,95062
87,781,112.102433,8.0,283,92887,8,87,9635920,95063
88,781,102.102433,1.0,270,87768,1,88,8153620,82648
89,781,102.513444,3.0,270,87769,3,89,8153620,29017
90,781,102.102433,1.0,270,87770,1,90,8153620,82650
91,781,127.042254,20.22023,311,68187,101,41051,121012864,53851
92,781,102.102433,1.0,270,87772,1,92,8153620,82652
93,781,102.102433,3.0,270,87773,3,93,8153620,82653
94,781,126.258643,1.0,279,35294,1,94,50143264,62686
95,781,126.258643,20.882202,279,35295,114,42463,50143264,62687
96,781,90.704225,1.0,221,93408,1,96,1276936,58208
97,781,127.230474,3.0,319,80225,3,97,106358020,47329
98,781,88.888604,1.0,234,98402,1,98,6810136,60514
99,781,88.888604,6.0,234,98403,6,99,6810136,60515
100,781,100.137004,1.0,256,42468,1,100,27114424,91620
101,781,100.137004,3.0,256,42469,3,101,27114424,91621
102,781,100.137004,1.0,256,42470,1,102,27114424,91622
103,781,133.654289,33.31114,350,77031,171,10087,1570824736,77671
104,781,90.704225,1.0,221,93416,1,104,1276936,58216
105,781,123.769526,3.0,327,95081,3,105,121012864,85097
106,781,90.704225,1.0,221,93418,1,106,1276936,58218
107,781,127.288092,8.0,321,53483,8,107,593279152,82411
108,781,111.498079,1.0,270,88172,1,108,27114424,68716
109,781,111.498079,3.0,270,88173,3,109,27114424,68717
110,781,111.498079,1.0,270,88174,1,110,27114424,68718
111,781,136.960307,34.396927,306,77039,148,94959,720170836,94959
112,781,103.391805,1.0,241,59376,1,112,8153620,73456
113,781,90.704225,3.0,221,93425,3,113,1276936,58225
114,781,111.901408,1.0,270,88050,1,114,50143264,88050
115,781,111.901408,6.0,270,88051,6,115,50143264,88051
116,781,103.391805,1.0,241,59380,1,116,8153620,73460
117,781,103.391805,3.0,241,59381,3,117,8153620,73461
118,781,111.43662,1.0,285,62838,1,118,121012864,95734
119,781,111.43662,8.0,285,62839,8,119,121012864,95735
120,781,113.261204,1.0,265,99192,1,120,27114424,77304
121,781,125.435339,3.0,306,76153,3,121,121012864,71801
122,781,113.261204,1.0,265,99194,1,122,27114424,77306
123,781,122.933419,20.911652,332,88059,127,33019,121012864,47867
124,781,122.37388,1.0,272,60156,1,124,50143264,83580
125,781,122.37388,3.0,272,60157,3,125,50143264,83581
126,781,135.567222,1.0,311,68478,1,126,106358020,53246
127,781,148.943662,45.883483,311,68479,205,37503,521790496,73471
