source,condition,count,next_expansive_count,next_expansive_fraction,next_expansive_se,avg_next_log,avg_next_log_se,avg_next_tail,avg_next_tail_se,avg_next_exit_v2,avg_next_exit_v2_se
real,prev_exit_v2_eq_1,282928,80594,0.28485692,0.0008485392,-0.577333879553,0.002132245482,1.99834233,0.0026536871,2.0018768,0.0026601564
real,prev_exit_v2_eq_2,65481,18580,0.28374643,0.0017617365,-0.590148510866,0.004482954071,1.99686932,0.005540297,2.01950184,0.0056082392
real,prev_exit_v2_eq_3,16853,4918,0.29181748,0.0035017863,-0.585301414678,0.008954809313,2.00753575,0.010872702,2.01875037,0.0111688753
real,prev_exit_v2_eq_4,4356,1206,0.2768595,0.0067794916,-0.54687595567,0.016812614666,1.9905877,0.0219026838,1.95339761,0.0208382261
real,prev_exit_v2_eq_5,1122,259,0.23083779,0.0125795757,-0.624651224814,0.033974280868,1.84491979,0.0363839609,1.98039216,0.0439687411
real,prev_exit_v2_eq_6,264,55,0.20833333,0.0249947385,-0.650757852719,0.061077162255,2.07954545,0.0804456658,2.15530303,0.0830273715
real,prev_exit_v2_eq_7,47,17,0.36170213,0.070087134,-0.366387338506,0.132222828748,2.04255319,0.1549594761,1.72340426,0.176569551
real,prev_exit_v2_eq_8,18,7,0.38888889,0.1149043856,-0.944462635019,0.259454012965,1.94444444,0.2056747579,2.5,0.3051839689
real,prev_exit_v2_eq_9,7,7,1.0,0.0,0.11778404097,8.13e-10,2.0,0.0,1.0,0.0
real,prev_exit_v2_eq_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_eq_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_eq_1,284247,81324,0.28610328,0.0008476785,-0.57689247034,0.002131177336,1.99984521,0.0026498028,2.00211436,0.0026585736
model,prev_exit_v2_eq_2,65978,18899,0.28644397,0.0017600877,-0.575860315652,0.00441049641,1.99942405,0.0054914477,2.00037891,0.0054902556
model,prev_exit_v2_eq_3,17087,4874,0.28524609,0.0034542615,-0.565370143628,0.008559720159,2.00713993,0.0108105019,1.9897583,0.0106280559
model,prev_exit_v2_eq_4,4325,1232,0.28485549,0.0068630339,-0.57928160845,0.016956021446,1.96069364,0.0207876405,1.98265896,0.0211122794
model,prev_exit_v2_eq_5,1088,312,0.28676471,0.0137108637,-0.570038506531,0.033873742489,2.01470588,0.0436928245,2.00091912,0.0415220986
model,prev_exit_v2_eq_6,253,69,0.27272727,0.0279996547,-0.523363174954,0.060535836811,1.95256917,0.0839597041,1.8972332,0.0759043252
model,prev_exit_v2_eq_7,57,12,0.21052632,0.0539988606,-0.654526113155,0.164180890671,1.89473684,0.2134045109,2.05263158,0.1913234684
model,prev_exit_v2_eq_8,19,5,0.26315789,0.1010226179,-0.818335944514,0.343187167556,2.21052632,0.3633739505,2.47368421,0.5150848511
model,prev_exit_v2_eq_9,8,3,0.375,0.1711632992,-0.235305054766,0.335184988295,2.625,0.5957438328,1.875,0.4794900565
model,prev_exit_v2_eq_10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_eq_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
