k,total_residuals,j,modulus,residue_mod,residue_mod_binary_msb_first,residue_mod_binary_lsb_first,count,fraction_of_residuals,s2_branch_capacity,density_within_s2_bucket
16,378,9,512,245,011110101,101011110,1,0.002645502646,128,0.007812500000
16,378,9,512,253,011111101,101111110,29,0.076719576720,128,0.226562500000
16,378,9,512,269,100001101,101100001,1,0.002645502646,128,0.007812500000
16,378,9,512,285,100011101,101110001,8,0.021164021164,128,0.062500000000
16,378,9,512,293,100100101,101001001,1,0.002645502646,128,0.007812500000
16,378,9,512,317,100111101,101111001,8,0.021164021164,128,0.062500000000
16,378,9,512,325,101000101,101000101,1,0.002645502646,128,0.007812500000
16,378,9,512,333,101001101,101100101,8,0.021164021164,128,0.062500000000
16,378,9,512,349,101011101,101110101,1,0.002645502646,128,0.007812500000
16,378,9,512,365,101101101,101101101,8,0.021164021164,128,0.062500000000
16,378,9,512,381,101111101,101111101,8,0.021164021164,128,0.062500000000
16,378,9,512,389,110000101,101000011,8,0.021164021164,128,0.062500000000
16,378,9,512,413,110011101,101110011,29,0.076719576720,128,0.226562500000
16,378,9,512,421,110100101,101001011,8,0.021164021164,128,0.062500000000
16,378,9,512,429,110101101,101101011,8,0.021164021164,128,0.062500000000
16,378,9,512,437,110110101,101011011,1,0.002645502646,128,0.007812500000
16,378,9,512,445,110111101,101111011,29,0.076719576720,128,0.226562500000
16,378,9,512,461,111001101,101100111,1,0.002645502646,128,0.007812500000
16,378,9,512,477,111011101,101110111,1,0.002645502646,128,0.007812500000
16,378,9,512,485,111100101,101001111,8,0.021164021164,128,0.062500000000
16,378,9,512,493,111101101,101101111,8,0.021164021164,128,0.062500000000
16,378,9,512,501,111110101,101011111,8,0.021164021164,128,0.062500000000
16,378,9,512,509,111111101,101111111,64,0.169312169312,128,0.500000000000
16,378,10,1024,29,0000011101,1011100000,1,0.002645502646,64,0.015625000000
16,378,10,1024,37,0000100101,1010010000,1,0.002645502646,64,0.015625000000
16,378,10,1024,77,0001001101,1011001000,1,0.002645502646,64,0.015625000000
16,378,10,1024,101,0001100101,1010011000,1,0.002645502646,64,0.015625000000
16,378,10,1024,109,0001101101,1011011000,22,0.058201058201,64,0.343750000000
16,378,10,1024,125,0001111101,1011111000,7,0.018518518519,64,0.109375000000
16,378,10,1024,157,0010011101,1011100100,1,0.002645502646,64,0.015625000000
16,378,10,1024,165,0010100101,1010010100,7,0.018518518519,64,0.109375000000
16,378,10,1024,189,0010111101,1011110100,7,0.018518518519,64,0.109375000000
16,378,10,1024,221,0011011101,1011101100,7,0.018518518519,64,0.109375000000
16,378,10,1024,229,0011100101,1010011100,1,0.002645502646,64,0.015625000000
16,378,10,1024,253,0011111101,1011111100,7,0.018518518519,64,0.109375000000
16,378,10,1024,285,0100011101,1011100010,7,0.018518518519,64,0.109375000000
16,378,10,1024,293,0100100101,1010010010,1,0.002645502646,64,0.015625000000
16,378,10,1024,317,0100111101,1011110010,1,0.002645502646,64,0.015625000000
16,378,10,1024,325,0101000101,1010001010,1,0.002645502646,64,0.015625000000
16,378,10,1024,333,0101001101,1011001010,7,0.018518518519,64,0.109375000000
16,378,10,1024,365,0101101101,1011011010,7,0.018518518519,64,0.109375000000
16,378,10,1024,381,0101111101,1011111010,1,0.002645502646,64,0.015625000000
16,378,10,1024,389,0110000101,1010000110,1,0.002645502646,64,0.015625000000
16,378,10,1024,413,0110011101,1011100110,22,0.058201058201,64,0.343750000000
16,378,10,1024,421,0110100101,1010010110,1,0.002645502646,64,0.015625000000
16,378,10,1024,429,0110101101,1011010110,1,0.002645502646,64,0.015625000000
16,378,10,1024,437,0110110101,1010110110,1,0.002645502646,64,0.015625000000
16,378,10,1024,445,0110111101,1011110110,7,0.018518518519,64,0.109375000000
16,378,10,1024,485,0111100101,1010011110,7,0.018518518519,64,0.109375000000
