k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
8,256,67,q_mod_2^8,67,19,31,0.005545826,0.0089803013,-0.0034344752,7,11,0.36842105,0.35483871,0.01358234,0.1401123258,-0.26103782,0.2882025,0.096939,0.0020431991,0.0031865585,-0.0011433595,0.63157895,0.4516129,0.17996604,0.1422521464,-0.09884816,0.45878025,1.26512,1.63157895,2.4516129,-0.82003396,1.73684211,1.61290323,-0.542338847784,-0.123935832638,2.149224764157,1.226618418702
8,256,69,q_mod_2^8,69,27,29,0.0078809107,0.008400927,-0.0005200163,12,10,0.44444444,0.34482759,0.09961686,0.1301358703,-0.15544945,0.35468316,0.765483,0.003502627,0.0028968714,0.0006057556,0.25925926,0.48275862,-0.22349936,0.1253920891,-0.46926786,0.02226913,-1.782404,2.14814815,2.65517241,-0.50702427,1.33333333,1.51724138,-0.05319687734,0.024908185507,0.863436466921,1.169923402281
8,256,71,q_mod_2^8,71,53,23,0.0154699358,0.0066628042,0.0088071316,30,10,0.56603774,0.43478261,0.13125513,0.1237713102,-0.11133664,0.3738469,1.060465,0.0087565674,0.0028968714,0.005859696,0.37735849,0.26086957,0.11648893,0.1132100781,-0.10540283,0.33838068,1.028963,1.49056604,2.04347826,-0.55291222,1.62264151,1.65217391,-0.520356782464,-0.316640555661,1.773711051987,1.334089469622
8,256,73,q_mod_2^8,73,44,19,0.0128429656,0.0055040556,0.0073389099,31,5,0.70454545,0.26315789,0.44138756,0.1222149938,0.20184617,0.68092895,3.611566,0.009048453,0.0014484357,0.0076000173,0.27272727,0.36842105,-0.09569378,0.129439453,-0.34939511,0.15800755,-0.739294,1.95454545,1.94736842,0.00717703,1.20454545,1.73684211,-0.042427203486,-0.414297260972,1.895522693394,1.252439445649
8,256,75,q_mod_2^8,75,21,26,0.0061295972,0.0075318656,-0.0014022684,1,6,0.04761905,0.23076923,-0.18315018,0.0948002428,-0.36895866,0.00265829,-1.931959,0.0002918856,0.0017381228,-0.0014462372,0.80952381,0.57692308,0.23260073,0.1293461292,-0.02091768,0.48611915,1.798281,4.0,2.42307692,1.57692308,1.47619048,1.57692308,0.598643447831,-0.110566638159,1.030566047188,1.42514294213
8,256,77,q_mod_2^8,77,26,19,0.0075890251,0.0055040556,0.0020849695,15,6,0.57692308,0.31578947,0.2611336,0.1440823433,-0.02126779,0.543535,1.812391,0.0043782837,0.0017381228,0.0026401609,0.23076923,0.47368421,-0.24291498,0.1412407105,-0.51974677,0.03391681,-1.719865,2.5,2.21052632,0.28947368,1.26923077,1.57894737,0.133899177029,-0.198151625066,1.077888208811,1.394305697582
8,256,79,q_mod_2^8,79,30,23,0.0087565674,0.0066628042,0.0020937633,20,15,0.66666667,0.65217391,0.01449275,0.1314159461,-0.2430825,0.27206801,0.110282,0.0058377116,0.0043453071,0.0014924045,0.3,0.26086957,0.03913043,0.1240295608,-0.2039675,0.28222837,0.315493,1.46666667,1.47826087,-0.0115942,1.73333333,1.17391304,-0.606772826619,-0.214311313019,1.296032061702,1.368485764653
8,256,81,q_mod_2^8,81,42,25,0.0122591944,0.0072421784,0.0050170159,12,6,0.28571429,0.24,0.04571429,0.1102501088,-0.17037593,0.2618045,0.414642,0.003502627,0.0017381228,0.0017645041,0.28571429,0.52,-0.23428571,0.1218322063,-0.47307684,0.00450541,-1.92302,2.33333333,2.88,-0.54666667,1.85714286,1.8,-0.341187984975,-0.079925413656,1.604665215084,1.393634110091
8,256,83,q_mod_2^8,83,15,22,0.0043782837,0.006373117,-0.0019948333,0,10,0.0,0.45454545,-0.45454545,0.1061589469,-0.66261699,-0.24647392,-4.281744,0.0,0.0028968714,-0.0028968714,0.8,0.36363636,0.43636364,0.1455509323,0.15108381,0.72164346,2.998013,3.26666667,2.04545455,1.22121212,1.4,1.40909091,0.354114525597,-0.147346942386,0.403596741109,1.261927623268
8,256,85,q_mod_2^8,85,34,20,0.0099241097,0.0057937428,0.004130367,19,8,0.55882353,0.4,0.15882353,0.1387485869,-0.1131237,0.43077076,1.144686,0.005545826,0.0023174971,0.0032283289,0.29411765,0.45,-0.15588235,0.1359457566,-0.42233604,0.11057133,-1.146651,1.97058824,2.65,-0.67941176,1.32352941,1.4,-0.118395762825,0.104076483703,1.417996852687,1.244070536131
