source,chains,blocks,pairs,drop_fraction,one_fraction,maxed_fraction,expansive_fraction,mean_local_log,log_pair_correlation,tail_pair_correlation,p_next_exp_after_exp,p_next_exp_after_nonexp,avg_next_log_after_exp,avg_next_log_after_nonexp,p_next_exp_after_long_tail,p_next_exp_after_short_tail,avg_next_tail_after_long_tail,avg_next_tail_after_short_tail,mean_max_expansive_run,p99_max_expansive_run,max_expansive_run
real,499999,871075,371076,0.999966,3.4e-05,0.0,0.28559768,-0.577242880888,0.0031789932,0.001770179374,0.28551273,0.28302766,-0.576785435974,-0.585849559727,0.29159021,0.28456997,2.01284404,1.99773959,0.41536883,3.0,10
model,499999,873061,373062,1.0,0.0,0.0,0.28616672,-0.574952408102,-0.002183105526,-0.001493437097,0.28606594,0.28614441,-0.577062679125,-0.574361296357,0.28586873,0.2860958,2.00864865,1.99951171,0.41514083,3.0,11
