k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
8,256,209,current_mod_2^8,209,23,23,0.0067133684,0.0066628042,5.05642e-05,23,23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0067133684,0.0066628042,5.05642e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.13043478,-0.287682017558,-0.378092574264,1.047313958198,1.198586727857
8,256,211,current_mod_2^8,211,14,35,0.0040863981,0.0101390498,-0.0060526517,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.8,0.0676123404,-0.93252019,-0.66747981,-11.83216,2.0,2.0,0.0,2.0,1.37142857,-0.575363926365,-0.139671631409,1.260026310679,1.524121492895
8,256,213,current_mod_2^8,213,0,29,0.0,0.008400927,-0.008400927,0,29,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.008400927,-0.008400927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.37931034,0.0,-0.550599968526,0.0,1.413935709454
8,256,215,current_mod_2^8,215,22,32,0.0064214828,0.0092699884,-0.0028485056,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,-0.65625,0.0839616612,-0.82081486,-0.49168514,-7.816067,3.0,3.0,0.0,3.0,1.46875,-0.863046094095,0.198335402877,1.631576221081,1.172716774074
8,256,217,current_mod_2^8,217,37,19,0.0107997665,0.0055040556,0.0052957109,37,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0107997665,0.0055040556,0.0052957109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.31578947,-0.287681886828,-0.506570655787,1.213751936065,1.656588030895
8,256,219,current_mod_2^8,219,28,28,0.0081727963,0.0081112399,6.15564e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78571429,0.21428571,0.0775443069,0.06229887,0.36627256,2.763397,2.0,2.0,0.0,1.0,1.32142857,0.117783384758,-0.105014272381,0.520831227835,1.41857089582
8,256,221,current_mod_2^8,221,37,22,0.0107997665,0.006373117,0.0044266495,37,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0107997665,0.006373117,0.0044266495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.31818182,-0.980829015718,-0.50822890263,1.96135594155,1.462291268179
8,256,223,current_mod_2^8,223,33,42,0.0096322242,0.0121668598,-0.0025346356,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78571429,0.21428571,0.0633146615,0.09018898,0.33838245,3.384456,5.0,5.0,0.0,2.0,1.85714286,0.6410316722,0.740052205215,0.616239803472,0.953978891593
8,256,225,current_mod_2^8,225,46,26,0.0134267367,0.0075318656,0.0058948711,46,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0134267367,0.0075318656,0.0058948711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.38461538,-0.287681936011,-0.554277141898,1.771913055715,1.344202346896
8,256,227,current_mod_2^8,227,0,26,0.0,0.0075318656,-0.0075318656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76923077,-0.76923077,0.0,-0.76923077,-0.76923077,0.0,0.0,2.0,-2.0,0.0,1.42307692,0.0,-0.175471540734,0.0,1.571870201553
8,256,229,current_mod_2^8,229,22,26,0.0064214828,0.0075318656,-0.0011103828,22,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0064214828,0.0075318656,-0.0011103828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.15384615,-1.673976422947,-0.39432010023,3.26475986955,1.31798372076
8,256,231,current_mod_2^8,231,31,42,0.009048453,0.0121668598,-0.0031184068,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64285714,0.35714286,0.0739355956,0.21222909,0.50205662,4.830459,3.0,3.0,0.0,1.0,1.45238095,0.523248331827,0.209681562083,1.061763801802,1.315393050475
8,256,233,current_mod_2^8,233,32,18,0.0093403386,0.0052143685,0.0041259701,32,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0093403386,0.0052143685,0.0041259701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.38888889,-0.287681706309,-0.557239309336,0.875201669213,1.466497278912
8,256,235,current_mod_2^8,235,35,29,0.0102159953,0.008400927,0.0018150683,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72413793,0.27586207,0.0829960921,0.11318973,0.43853441,3.323796,2.0,2.0,0.0,1.0,1.48275862,0.117788069921,-0.216839741166,0.895348253297,1.062599719667
8,256,237,current_mod_2^8,237,12,26,0.003502627,0.0075318656,-0.0040292386,12,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003502627,0.0075318656,-0.0040292386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.34615385,-0.980829229829,-0.527617634953,2.431576696174,1.239408155133
8,256,239,current_mod_2^8,239,36,30,0.0105078809,0.0086906141,0.0018172668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93333333,0.06666667,0.0455420034,-0.02259566,0.15592899,1.46385,4.0,4.0,0.0,1.0,1.46666667,0.928713426751,0.605244567611,0.884097822518,1.038124234764
8,256,241,current_mod_2^8,241,13,21,0.0037945126,0.0060834299,-0.0022889173,13,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0037945126,0.0060834299,-0.0022889173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.23809524,-0.287682034197,-0.452717115442,2.824066365465,1.295712827095
8,256,243,current_mod_2^8,243,12,23,0.003502627,0.0066628042,-0.0031601772,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7826087,-0.7826087,0.0860061487,-0.95118075,-0.61403664,-9.099451,2.0,2.0,0.0,2.0,1.2173913,-0.575363903133,-0.032901134031,1.053795816871,1.116741491417
8,256,245,current_mod_2^8,245,1,14,0.0002918856,0.0040556199,-0.0037637343,1,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002918856,0.0040556199,-0.0037637343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.42857143,-2.367123613076,-0.584745149835,4.317319528028,1.655290558941
8,256,247,current_mod_2^8,247,38,33,0.0110916521,0.0095596756,0.0015319765,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60606061,-0.60606061,0.085058117,-0.77277452,-0.4393467,-7.125253,3.0,3.0,0.0,2.0,1.51515152,-0.169898913595,0.166172323476,2.592215799746,1.436927988883
8,256,249,current_mod_2^8,249,30,19,0.0087565674,0.0055040556,0.0032525118,30,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0087565674,0.0055040556,0.0032525118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.15789474,-0.287682019816,-0.397126364119,1.473956265039,1.008151123176
8,256,251,current_mod_2^8,251,25,29,0.0072971395,0.008400927,-0.0011037875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72413793,0.27586207,0.0829960921,0.11318973,0.43853441,3.323796,2.0,2.0,0.0,1.0,1.51724138,0.117783162627,-0.240741368082,1.185085428896,1.447218126256
8,256,253,current_mod_2^8,253,29,18,0.0084646818,0.0052143685,0.0032503134,29,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0084646818,0.0052143685,0.0032503134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.38888889,-0.980829222377,-0.557239309336,2.349120779274,1.138164531553
8,256,255,current_mod_2^8,255,41,38,0.0119673088,0.0110081112,0.0009591976,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.90243902,8.84210526,0.06033376,1.56097561,2.0,2.527642785519,2.19887080531,0.805669885292,1.070690554302
