source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,depth_01,499999,0.500073,7.3e-05,0.28622257,2.000378,1.998316,-0.574043616601,0.0,-0.574043616601
real,depth_01,499999,0.499999,-1e-06,0.28626857,1.999988,2.000004,-0.57536530425,0.0,-0.57536530425
model,depth_02,143111,0.49912306,-0.00087694,0.28649789,2.00012578,2.00576476,-0.579308971311,0.540477167567,-0.038831803744
real,depth_02,143134,0.50003493,3.493e-05,0.28633309,1.99995808,1.99945506,-0.574999484758,0.539166734371,-0.035832750388
model,depth_03,70027,0.49910749,-0.00089251,0.28563268,2.00586916,1.99795793,-0.571568948676,0.89583991313,0.324270964454
real,depth_03,69975,0.49990711,-9.289e-05,0.28665952,2.00101465,2.00034298,-0.575187677135,0.899443251344,0.324255574209
model,depth_04,44157,0.50216274,0.00216274,0.28464343,1.99098671,1.99119052,-0.572912457964,1.078752281803,0.505839823839
real,depth_04,44071,0.49905834,-0.00094166,0.28642418,2.00099839,2.00204216,-0.576372032888,1.084179766109,0.507807733222
model,depth_05,30196,0.4996026,-0.0003974,0.2851371,1.99344284,1.99678765,-0.57579621587,1.208408630162,0.632612414292
real,depth_05,30163,0.50369658,0.00369658,0.28508437,1.99612108,1.99605477,-0.574199473155,1.21382649525,0.639627022095
model,depth_06,21131,0.50172732,0.00172732,0.28219204,1.99176565,1.99578818,-0.575783473366,1.339298882616,0.763515409249
real,depth_06,21216,0.50174397,0.00174397,0.28615196,1.99797323,2.0275264,-0.595263191243,1.337751420896,0.742488229653
model,depth_07,15195,0.49884831,-0.00115169,0.28680487,2.00190852,1.98650872,-0.565238862893,1.45395837919,0.888719516297
real,depth_07,15163,0.50550683,0.00550683,0.28134274,1.9796874,2.02341225,-0.599825483736,1.454604146997,0.854778663261
model,depth_08,11104,0.49360591,-0.00639409,0.29511888,2.02242435,2.00603386,-0.570454206969,1.571773590294,1.001319383325
real,depth_08,10992,0.51164483,0.01164483,0.27001456,1.98353348,2.01810408,-0.594586871978,1.554528258249,0.959941386272
model,depth_09,8312,0.50625602,0.00625602,0.28176131,1.98063041,1.99795476,-0.581800186811,1.670684997137,1.088884810326
real,depth_09,8211,0.49786871,-0.00213129,0.28218244,2.00645476,2.03738887,-0.598660124948,1.617717514447,1.019057389499
model,depth_10,6367,0.51060154,0.01060154,0.28286477,1.98743521,2.03282551,-0.603211634991,1.730264962206,1.127053327216
real,depth_10,6233,0.48901011,-0.01098989,0.27643189,1.98299374,2.05053746,-0.617287053614,1.675175687593,1.05788863398
model,depth_11,4888,0.48895254,-0.01104746,0.2913257,2.02884615,1.9952946,-0.560406500592,1.782655401264,1.222248900672
real,depth_11,4734,0.51140684,0.01140684,0.26446979,1.96599071,2.01964512,-0.602768739721,1.729719645076,1.126950905355
model,depth_12,3798,0.51369142,0.01369142,0.27988415,1.96419168,2.03080569,-0.611236044542,1.843322024066,1.232085979524
real,depth_12,3607,0.49431661,-0.00568339,0.28777377,2.01247574,2.04130857,-0.598936549245,1.788441895811,1.189505346565
model,depth_13,2921,0.49674769,-0.00325231,0.28380692,1.99418008,2.0352619,-0.602165605511,1.911420774639,1.309255169128
real,depth_13,2773,0.51352326,0.01352326,0.28597187,1.95059502,1.95275875,-0.56264852437,1.85559907519,1.292950550819
model,depth_14,2284,0.48380035,-0.01619965,0.29509632,2.01751313,1.98686515,-0.559158794754,1.965490792214,1.40633199746
real,depth_14,2198,0.47770701,-0.02229299,0.28798908,2.09235669,2.06096451,-0.580167439498,1.890232294765,1.310064855266
model,depth_15,1829,0.47895025,-0.02104975,0.29907053,1.98906506,2.00710771,-0.584724568911,2.006083457716,1.421358888805
real,depth_15,1737,0.52504318,0.02504318,0.2527346,1.95048935,2.05008636,-0.630151932147,1.930436026085,1.300284093938
model,depth_16,1444,0.48753463,-0.01246537,0.30747922,2.01939058,1.95706371,-0.537740773559,2.047778188851,1.510037415293
real,depth_16,1358,0.50662739,0.00662739,0.26804124,1.97054492,1.98969072,-0.580160020864,1.937962202645,1.357802181781
model,depth_17,1151,0.48740226,-0.01259774,0.29018245,2.0,2.01216334,-0.583795127117,2.129290491478,1.54549536436
real,depth_17,1069,0.49204864,-0.00795136,0.28811974,2.1272217,1.99625819,-0.521185540336,1.9894735768,1.468288036464
model,depth_18,931,0.49731472,-0.00268528,0.3179377,2.13104189,1.96025779,-0.494684027965,2.165796526873,1.671112498909
real,depth_18,855,0.53450292,0.03450292,0.27134503,1.87251462,2.04327485,-0.657049735759,2.07133146116,1.414281725401
model,depth_19,756,0.49074074,-0.00925926,0.28174603,2.01587302,2.03439153,-0.592766585905,2.268570568381,1.675803982476
real,depth_19,685,0.50072993,0.00072993,0.30072993,2.00875912,1.8729927,-0.483777040396,2.002499992172,1.518722951776
model,depth_20,617,0.50567261,0.00567261,0.26580227,1.9076175,2.01620746,-0.624056175645,2.302844125933,1.678787950288
real,depth_20,572,0.54895105,0.04895105,0.25874126,1.98251748,1.93356643,-0.536403683841,2.023571498019,1.487167814178
model,depth_21_plus,2843,0.50123109,0.00123109,0.28807598,2.0239184,2.02462188,-0.582732655381,2.559515727808,1.976783072427
real,depth_21_plus,2330,0.52145923,0.02145923,0.26609442,2.00257511,2.0111588,-0.582054128696,2.050868183449,1.468814054753
