record_type,n,total_steps,stopping_time,max_value,odd_steps,even_steps,parity_prefix,reached_one,terminal_value
total_steps,77031,350,145,21933016,129,221,1010100101010010010010101010101010101001001010000010101001010001,True,1
stopping_time,35655,323,220,41163712,119,204,1010100100101010010010100101010101010101001000100101010101001010,True,1
max_value,77671,231,171,1570824736,83,148,1010100101010101010101010101010101010101001001001010101010010100,True,1
