source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,final_block,715540,0.68213098,0.18213098,0.0,1.47970204,2.9226109,-1.425831953012,0.4651569105,-0.960675042512
real,final_block,715683,0.6831111,0.1831111,0.0,1.47789734,2.92294773,-1.426796423811,0.465658705845,-0.961137717966
model,first_block,715540,0.0,-0.5,1.0,3.29531403,1.14938368,0.53944280011,0.0,0.53944280011
real,first_block,715683,0.0,-0.5,1.0,3.29353638,1.14873484,0.539173678268,0.0,0.539173678268
model,interior_block,1146649,0.3860606,-0.1139394,0.46491559,2.3232262,1.42587836,-0.046356405011,1.295564887051,1.249208482047
real,interior_block,1145601,0.38646876,-0.11353124,0.46453434,2.3234765,1.42540553,-0.045926475281,1.286605383913,1.240678908632
model,only_block,1784459,0.70110213,0.20110213,0.0,1.47958233,2.34090052,-1.022669586772,0.0,-1.022669586772
real,only_block,1784316,0.700548,0.200548,0.0,1.48116309,2.34143728,-1.022399421612,0.0,-1.022399421612
