source,bucket,tail,count,fraction,geometric_fraction,diff_vs_geometric
model,final_block,1,97489,0.68121249,0.5,0.18121249
model,final_block,2,29763,0.20797143,0.25,-0.04202857
model,final_block,3,10870,0.07595503,0.125,-0.04904497
model,final_block,4,3407,0.0238067,0.0625,-0.0386933
model,final_block,5,1023,0.0071483,0.03125,-0.0241017
model,final_block,6,363,0.00253649,0.015625,-0.01308851
model,final_block,7,134,0.00093634,0.0078125,-0.00687616
model,final_block,8,40,0.0002795,0.00390625,-0.00362675
model,final_block,9,15,0.00010481,0.00195312,-0.00184831
model,final_block,10,5,3.494e-05,0.00097656,-0.00094162
model,final_block,11,1,6.99e-06,0.00048828,-0.00048129
model,final_block,12,1,6.99e-06,0.00024414,-0.00023715
real,final_block,1,97740,0.68285662,0.5,0.18285662
real,final_block,2,29669,0.20728129,0.25,-0.04271871
real,final_block,3,10856,0.07584501,0.125,-0.04915499
real,final_block,4,3282,0.02292956,0.0625,-0.03957044
real,final_block,5,979,0.00683974,0.03125,-0.02441026
real,final_block,6,425,0.00296925,0.015625,-0.01265575
real,final_block,7,125,0.00087331,0.0078125,-0.00693919
real,final_block,8,45,0.00031439,0.00390625,-0.00359186
real,final_block,9,8,5.589e-05,0.00195312,-0.00189723
real,final_block,10,2,1.397e-05,0.00097656,-0.00096259
real,final_block,11,2,1.397e-05,0.00048828,-0.00047431
real,final_block,13,1,6.99e-06,0.00012207,-0.00011508
model,first_block,2,62379,0.43587844,0.25,0.18587844
model,first_block,3,31029,0.21681771,0.125,0.09181771
model,first_block,4,23562,0.16464143,0.0625,0.10214143
model,first_block,5,11799,0.08244649,0.03125,0.05119649
model,first_block,6,6969,0.04869647,0.015625,0.03307147
model,first_block,7,3688,0.02577021,0.0078125,0.01795771
model,first_block,8,1779,0.01243091,0.00390625,0.00852466
model,first_block,9,936,0.00654038,0.00195312,0.00458725
model,first_block,10,488,0.00340994,0.00097656,0.00243338
model,first_block,11,242,0.001691,0.00048828,0.00120271
model,first_block,12,136,0.00095031,0.00024414,0.00070617
model,first_block,13,52,0.00036335,0.00012207,0.00024128
model,first_block,14,25,0.00017469,6.104e-05,0.00011365
model,first_block,15,9,6.289e-05,3.052e-05,3.237e-05
model,first_block,16,10,6.988e-05,1.526e-05,5.462e-05
model,first_block,17,3,2.096e-05,7.63e-06,1.333e-05
model,first_block,18,3,2.096e-05,3.81e-06,1.715e-05
model,first_block,19,1,6.99e-06,1.91e-06,5.08e-06
model,first_block,20,1,6.99e-06,9.5e-07,6.03e-06
real,first_block,2,62500,0.43665377,0.25,0.18665377
real,first_block,3,31250,0.21832688,0.125,0.09332688
real,first_block,4,23437,0.16374167,0.0625,0.10124167
real,first_block,5,11719,0.08187433,0.03125,0.05062433
real,first_block,6,6836,0.04775944,0.015625,0.03213444
real,first_block,7,3661,0.02557743,0.0078125,0.01776493
real,first_block,8,1830,0.01278522,0.00390625,0.00887897
real,first_block,9,946,0.00660919,0.00195312,0.00465607
real,first_block,10,473,0.0033046,0.00097656,0.00232803
real,first_block,11,240,0.00167675,0.00048828,0.00118847
real,first_block,12,121,0.00084536,0.00024414,0.00060122
real,first_block,13,60,0.00041919,0.00012207,0.00029712
real,first_block,14,31,0.00021658,6.104e-05,0.00015555
real,first_block,15,15,0.0001048,3.052e-05,7.428e-05
real,first_block,16,8,5.589e-05,1.526e-05,4.063e-05
real,first_block,17,4,2.795e-05,7.63e-06,2.032e-05
real,first_block,18,2,1.397e-05,3.81e-06,1.016e-05
real,first_block,19,1,6.99e-06,1.91e-06,5.08e-06
model,interior_block,1,88883,0.38653017,0.5,-0.11346983
model,interior_block,2,63751,0.27723732,0.25,0.02723732
model,interior_block,3,35534,0.15452857,0.125,0.02952857
model,interior_block,4,20084,0.08734035,0.0625,0.02484035
model,interior_block,5,10720,0.04661863,0.03125,0.01536863
model,interior_block,6,5464,0.02376158,0.015625,0.00813658
model,interior_block,7,2725,0.01185035,0.0078125,0.00403785
model,interior_block,8,1361,0.00591865,0.00390625,0.0020124
model,interior_block,9,728,0.00316589,0.00195312,0.00121277
model,interior_block,10,323,0.00140465,0.00097656,0.00042808
model,interior_block,11,183,0.00079582,0.00048828,0.00030754
model,interior_block,12,99,0.00043053,0.00024414,0.00018639
model,interior_block,13,53,0.00023048,0.00012207,0.00010841
model,interior_block,14,24,0.00010437,6.104e-05,4.333e-05
model,interior_block,15,7,3.044e-05,3.052e-05,-8e-08
model,interior_block,16,4,1.74e-05,1.526e-05,2.14e-06
model,interior_block,17,5,2.174e-05,7.63e-06,1.411e-05
model,interior_block,18,2,8.7e-06,3.81e-06,4.88e-06
model,interior_block,21,1,4.35e-06,4.8e-07,3.87e-06
real,interior_block,1,88203,0.3869537,0.5,-0.1130463
real,interior_block,2,63003,0.27639926,0.25,0.02639926
real,interior_block,3,35264,0.15470602,0.125,0.02970602
real,interior_block,4,19815,0.08693001,0.0625,0.02443001
real,interior_block,5,10519,0.0461477,0.03125,0.0148977
real,interior_block,6,5442,0.02387449,0.015625,0.00824949
real,interior_block,7,2887,0.0126655,0.0078125,0.004853
real,interior_block,8,1475,0.00647094,0.00390625,0.00256469
real,interior_block,9,650,0.0028516,0.00195312,0.00089848
real,interior_block,10,378,0.00165832,0.00097656,0.00068175
real,interior_block,11,149,0.00065368,0.00048828,0.00016539
real,interior_block,12,77,0.00033781,0.00024414,9.366e-05
real,interior_block,13,44,0.00019303,0.00012207,7.096e-05
real,interior_block,14,21,9.213e-05,6.104e-05,3.109e-05
real,interior_block,15,3,1.316e-05,3.052e-05,-1.736e-05
real,interior_block,16,4,1.755e-05,1.526e-05,2.29e-06
real,interior_block,17,3,1.316e-05,7.63e-06,5.53e-06
real,interior_block,19,5,2.194e-05,1.91e-06,2.003e-05
model,only_block,1,250036,0.70060075,0.5,0.20060075
model,only_block,2,62787,0.17592914,0.25,-0.07407086
model,only_block,3,31009,0.0868872,0.125,-0.0381128
model,only_block,4,7827,0.02193125,0.0625,-0.04056875
model,only_block,5,3828,0.01072605,0.03125,-0.02052395
model,only_block,6,976,0.00273475,0.015625,-0.01289025
model,only_block,7,246,0.00068929,0.0078125,-0.00712321
model,only_block,8,125,0.00035025,0.00390625,-0.003556
model,only_block,9,34,9.527e-05,0.00195312,-0.00185786
model,only_block,10,15,4.203e-05,0.00097656,-0.00093453
model,only_block,11,5,1.401e-05,0.00048828,-0.00047427
real,only_block,1,249999,0.70054222,0.5,0.20054222
real,only_block,2,62500,0.17513626,0.25,-0.07486374
real,only_block,3,31250,0.08756813,0.125,-0.03743187
real,only_block,4,7813,0.02189343,0.0625,-0.04060657
real,only_block,5,3906,0.01094532,0.03125,-0.02030468
real,only_block,6,977,0.00273773,0.015625,-0.01288727
real,only_block,7,245,0.00068653,0.0078125,-0.00712597
real,only_block,8,123,0.00034467,0.00390625,-0.00356158
real,only_block,9,31,8.687e-05,0.00195312,-0.00186626
real,only_block,10,15,4.203e-05,0.00097656,-0.00093453
real,only_block,11,4,1.121e-05,0.00048828,-0.00047707
real,only_block,12,1,2.8e-06,0.00024414,-0.00024134
