residue,count,avg_total_steps,avg_stopping_time,max_total_steps,argmax_total_steps,max_stopping_time,argmax_stopping_time,max_value,argmax_max_value
0,1953,75.987711,1.0,190,594432,1,512,1276936,931328
1,1954,136.860287,3.0,366,649217,3,513,2482111348,849409
2,1954,125.43347,1.0,364,973826,1,2,52988416,848898
3,1954,125.43654,6.0,364,973827,6,3,52988416,848899
4,1954,126.364893,1.0,335,709124,1,4,106358020,252420
5,1954,126.366428,3.0,335,709125,3,5,106358020,252421
6,1954,126.367963,1.0,335,709126,1,6,106358020,252422
7,1954,137.028659,11.0,376,537095,11,7,629558296,897543
8,1954,113.350563,1.0,319,504840,1,8,106358020,504840
9,1954,137.607472,3.0,381,474121,3,9,521790496,550409
10,1954,113.352098,1.0,319,504842,1,10,106358020,504842
11,1954,126.371034,8.0,335,709131,8,11,106358020,252427
12,1954,113.353634,1.0,319,504844,1,12,106358020,504844
13,1954,113.353634,3.0,319,504845,3,13,106358020,504845
14,1954,139.012794,1.0,379,711182,1,14,2512193776,967182
15,1954,139.012794,11.0,379,711183,11,15,2512193776,967183
16,1954,112.371546,1.0,317,757264,1,16,106358020,757264
17,1954,113.355169,3.0,319,504849,3,17,106358020,504849
18,1954,138.25435,1.0,382,948242,1,18,1602104344,925202
19,1954,138.25435,6.0,382,948243,6,19,1602104344,925203
20,1954,112.373081,1.0,317,757268,1,20,106358020,757268
21,1954,112.373081,3.0,317,757269,3,21,106358020,757269
22,1954,126.097236,1.0,340,626198,1,22,521790496,464406
23,1954,126.097236,8.0,340,626199,8,23,521790496,464407
24,1954,112.374616,1.0,317,757272,1,24,106358020,757272
25,1954,137.993859,3.0,363,521241,3,25,521790496,464409
26,1954,112.374616,1.0,317,757274,1,26,106358020,757274
27,1954,160.785568,34.883316,425,492571,207,824347,2512193776,871451
28,1954,125.679632,1.0,335,709148,1,28,106358020,504860
29,1954,125.679632,3.0,335,709149,3,29,106358020,504861
30,1954,125.679632,1.0,335,709150,1,30,106358020,504862
31,1954,160.825486,34.726714,387,855583,181,425503,12601065832,656415
32,1954,101.714944,1.0,276,954400,1,32,8153620,261152
33,1954,138.296827,3.0,340,610337,3,33,2030295616,939041
34,1954,112.376151,1.0,317,757282,1,34,106358020,757282
35,1954,112.376151,6.0,317,757283,6,35,106358020,757283
36,1954,137.561412,1.0,361,781860,1,36,2482111348,604708
37,1954,137.561412,3.0,361,781861,3,37,2482111348,604709
38,1954,137.561412,1.0,361,781862,1,38,2482111348,604710
39,1954,136.804504,13.0,356,831527,13,39,720170836,533543
40,1954,101.716479,1.0,276,954408,1,40,8153620,261160
41,1954,160.32651,3.0,423,738857,3,41,2649041476,726057
42,1954,101.716479,1.0,276,954410,1,42,8153620,261162
43,1954,125.515353,8.0,325,881707,8,43,106358020,757291
44,1954,126.062948,1.0,348,747052,1,44,521790496,928812
45,1954,126.062948,3.0,348,747053,3,45,521790496,928813
46,1954,126.062948,1.0,348,747054,1,46,521790496,928814
47,1954,162.715967,34.829069,363,500271,223,434223,12601065832,984623
48,1954,101.718014,1.0,276,954416,1,48,8153620,261168
49,1954,138.211361,3.0,348,747057,3,49,593279152,704049
50,1954,138.211361,1.0,348,747058,1,50,593279152,704050
51,1954,138.211361,6.0,348,747059,6,51,593279152,704051
52,1954,101.718014,1.0,276,954420,1,52,8153620,261172
53,1954,101.718014,3.0,276,954421,3,53,8153620,261173
54,1954,163.096725,1.0,426,985142,1,54,24648077896,865846
55,1954,163.096725,8.0,426,985143,8,55,24648077896,865847
56,1954,127.420164,1.0,343,801336,1,56,593279152,731704
57,1954,138.281474,3.0,395,998969,3,57,2649041476,827961
58,1954,127.420164,1.0,343,801338,1,58,593279152,731706
59,1954,136.508188,11.0,343,801339,11,59,2798323360,437307
60,1954,127.420164,1.0,343,801340,1,60,593279152,731708
61,1954,127.420164,3.0,343,801341,3,61,593279152,731709
62,1954,149.698055,1.0,374,763454,1,62,2798323360,622654
63,1954,149.698055,22.367963,374,763455,156,851007,2798323360,622655
64,1954,101.67349,1.0,265,592448,1,64,8153620,391744
65,1953,126.428059,3.0,327,587841,3,65,593279152,781377
66,1953,126.428059,1.0,327,587842,1,66,593279152,781378
67,1953,126.428059,6.0,327,587843,6,67,593279152,781379
68,1953,113.613415,1.0,291,670276,1,68,9635920,879172
69,1953,113.613415,3.0,291,670277,3,69,9635920,879173
70,1953,113.613415,1.0,291,670278,1,70,9635920,879174
71,1953,150.43318,22.953405,435,389191,225,495687,2798323360,700487
72,1953,125.696877,1.0,330,797768,1,72,1570824736,828488
73,1953,148.138249,3.0,371,604233,3,73,942408916,620617
74,1953,125.696877,1.0,330,797770,1,74,1570824736,828490
75,1953,113.613415,8.0,291,670283,8,75,9635920,879179
76,1953,125.696877,1.0,330,797772,1,76,1570824736,828492
77,1953,125.696877,3.0,330,797773,3,77,1570824736,828493
78,1953,137.249872,1.0,361,787022,1,78,1654140688,919118
79,1953,137.249872,13.0,361,787023,13,79,1654140688,919119
80,1953,101.649258,1.0,265,592464,1,80,8153620,391760
81,1953,139.024066,3.0,344,280145,3,81,1570824736,828497
82,1953,150.47619,1.0,344,280146,1,82,720170836,506450
83,1953,150.47619,6.0,344,280147,6,83,720170836,506451
84,1953,101.649258,1.0,265,592468,1,84,8153620,391764
85,1953,101.649258,3.0,265,592469,3,85,8153620,391765
86,1953,124.750128,1.0,345,578134,1,86,593279152,578134
87,1953,124.750128,8.0,345,578135,8,87,593279152,578135
88,1953,114.32002,1.0,320,973912,1,88,18976192,973912
89,1953,136.837686,3.0,361,787033,3,89,2798323360,655961
90,1953,114.32002,1.0,320,973914,1,90,18976192,973914
91,1953,159.343574,34.130568,387,869467,205,732251,2482111348,170075
