max_power,limit_exclusive,k,total_positive_n,certified_residue_count,residue_modulus,certified_residue_fraction,lowbit_certified_n,lowbit_certified_fraction,false_positives,mod3_preimage_n,mod3_preimage_fraction,naive_descends_within_steps,naive_steps,residue_evaluations,residue_orbit_steps,coverage_count_terms
11,2048,14,2047,12909,16384,0.787902832031,1594,0.778700537372,0,682,0.333170493405,2046,256,16384,229376,12909
11,2048,16,2047,58649,65536,0.894912719727,1824,0.891060087934,0,682,0.333170493405,2046,256,65536,1048576,58649
11,2048,18,2047,230962,262144,0.881050109863,1787,0.872984855887,0,682,0.333170493405,2046,256,262144,4718592,230962
11,2048,20,2047,910594,1048576,0.868410110474,1753,0.856375183195,0,682,0.333170493405,2046,256,1048576,20971520,910594
12,4096,8,4095,212,256,0.828125000000,3391,0.828083028083,0,1365,0.333333333333,4094,256,256,2048,212
12,4096,10,4095,846,1024,0.826171875000,3383,0.826129426129,0,1365,0.333333333333,4094,256,1024,10240,846
12,4096,12,4095,3300,4096,0.805664062500,3299,0.805616605617,0,1365,0.333333333333,4094,256,4096,49152,3300
12,4096,14,4095,12909,16384,0.787902832031,3214,0.784859584860,0,1365,0.333333333333,4094,256,16384,229376,12909
12,4096,16,4095,58649,65536,0.894912719727,3656,0.892796092796,0,1365,0.333333333333,4094,256,65536,1048576,58649
12,4096,18,4095,230962,262144,0.881050109863,3608,0.881074481074,0,1365,0.333333333333,4094,256,262144,4718592,230962
12,4096,20,4095,910594,1048576,0.868410110474,3555,0.868131868132,0,1365,0.333333333333,4094,256,1048576,20971520,910594
13,8192,8,8191,212,256,0.828125000000,6783,0.828104016604,0,2730,0.333292638262,8190,256,256,2048,212
13,8192,10,8191,846,1024,0.826171875000,6767,0.826150653156,0,2730,0.333292638262,8190,256,1024,10240,846
13,8192,12,8191,3300,4096,0.805664062500,6599,0.805640336955,0,2730,0.333292638262,8190,256,4096,49152,3300
13,8192,14,8191,12909,16384,0.787902832031,6446,0.786961298987,0,2730,0.333292638262,8190,256,16384,229376,12909
13,8192,16,8191,58649,65536,0.894912719727,7321,0.893785862532,0,2730,0.333292638262,8190,256,65536,1048576,58649
13,8192,18,8191,230962,262144,0.881050109863,7210,0.880234403614,0,2730,0.333292638262,8190,256,262144,4718592,230962
13,8192,20,8191,910594,1048576,0.868410110474,7127,0.870101330729,0,2730,0.333292638262,8190,256,1048576,20971520,910594
14,16384,8,16383,212,256,0.828125000000,13567,0.828114508942,0,5461,0.333333333333,16382,256,256,2048,212
14,16384,10,16383,846,1024,0.826171875000,13535,0.826161264726,0,5461,0.333333333333,16382,256,1024,10240,846
14,16384,12,16383,3300,4096,0.805664062500,13199,0.805652200452,0,5461,0.333333333333,16382,256,4096,49152,3300
14,16384,14,16383,12909,16384,0.787902832031,12908,0.787889885857,0,5461,0.333333333333,16382,256,16384,229376,12909
14,16384,16,16383,58649,65536,0.894912719727,14656,0.894585851187,0,5461,0.333333333333,16382,256,65536,1048576,58649
14,16384,18,16383,230962,262144,0.881050109863,14424,0.880424830617,0,5461,0.333333333333,16382,256,262144,4718592,230962
14,16384,20,16383,910594,1048576,0.868410110474,14229,0.868522248672,0,5461,0.333333333333,16382,256,1048576,20971520,910594
15,32768,8,32767,212,256,0.828125000000,27135,0.828119754631,0,10922,0.333323160497,32766,256,256,2048,212
15,32768,10,32767,846,1024,0.826171875000,27071,0.826166570025,0,10922,0.333323160497,32766,256,1024,10240,846
15,32768,12,32767,3300,4096,0.805664062500,26399,0.805658131657,0,10922,0.333323160497,32766,256,4096,49152,3300
15,32768,14,32767,12909,16384,0.787902832031,25817,0.787896359142,0,10922,0.333323160497,32766,256,16384,229376,12909
15,32768,16,32767,58649,65536,0.894912719727,29323,0.894894253365,0,10922,0.333323160497,32766,256,65536,1048576,58649
15,32768,18,32767,230962,262144,0.881050109863,28876,0.881252479629,0,10922,0.333323160497,32766,256,262144,4718592,230962
15,32768,20,32767,910594,1048576,0.868410110474,28488,0.869411297952,0,10922,0.333323160497,32766,256,1048576,20971520,910594
16,65536,8,65535,212,256,0.828125000000,54271,0.828122377356,0,21845,0.333333333333,65534,256,256,2048,212
16,65536,10,65535,846,1024,0.826171875000,54143,0.826169222553,0,21845,0.333333333333,65534,256,1024,10240,846
16,65536,12,65535,3300,4096,0.805664062500,52799,0.805661097124,0,21845,0.333333333333,65534,256,4096,49152,3300
16,65536,14,65535,12909,16384,0.787902832031,51635,0.787899595636,0,21845,0.333333333333,65534,256,16384,229376,12909
16,65536,16,65535,58649,65536,0.894912719727,58648,0.894911116197,0,21845,0.333333333333,65534,256,65536,1048576,58649
16,65536,18,65535,230962,262144,0.881050109863,57750,0.881208514534,0,21845,0.333333333333,65534,256,262144,4718592,230962
16,65536,20,65535,910594,1048576,0.868410110474,56945,0.868925001907,0,21845,0.333333333333,65534,256,1048576,20971520,910594
17,131072,8,131071,212,256,0.828125000000,108543,0.828123688688,0,43690,0.333330790182,131070,256,256,2048,212
17,131072,10,131071,846,1024,0.826171875000,108287,0.826170548787,0,43690,0.333330790182,131070,256,1024,10240,846
17,131072,12,131071,3300,4096,0.805664062500,105599,0.805662579823,0,43690,0.333330790182,131070,256,4096,49152,3300
17,131072,14,131071,12909,16384,0.787902832031,103271,0.787901213846,0,43690,0.333330790182,131070,256,16384,229376,12909
17,131072,16,131071,58649,65536,0.894912719727,117297,0.894911917968,0,43690,0.333330790182,131070,256,65536,1048576,58649
17,131072,18,131071,230962,262144,0.881050109863,115488,0.881110237963,0,43690,0.333330790182,131070,256,262144,4718592,230962
17,131072,20,131071,910594,1048576,0.868410110474,113897,0.868971778654,0,43690,0.333330790182,131070,256,1048576,20971520,910594
18,262144,8,262143,212,256,0.828125000000,217087,0.828124344346,0,87381,0.333333333333,262142,256,256,2048,212
18,262144,10,262143,846,1024,0.826171875000,216575,0.826171211896,0,87381,0.333333333333,262142,256,1024,10240,846
18,262144,12,262143,3300,4096,0.805664062500,211199,0.805663321164,0,87381,0.333333333333,262142,256,4096,49152,3300
18,262144,14,262143,12909,16384,0.787902832031,206543,0.787902022942,0,87381,0.333333333333,262142,256,16384,229376,12909
18,262144,16,262143,58649,65536,0.894912719727,234595,0.894912318849,0,87381,0.333333333333,262142,256,65536,1048576,58649
18,262144,18,262143,230962,262144,0.881050109863,230961,0.881049656104,0,87381,0.333333333333,262142,256,262144,4718592,230962
18,262144,20,262143,910594,1048576,0.868410110474,227746,0.868785357610,0,87381,0.333333333333,262142,256,1048576,20971520,910594
