blocks,P_real,P_model,diff
1,0.7137314275,0.7134460000,-0.0002854275
2,0.1463182926,0.1466300000,0.0003117074
3,0.0518081036,0.0519540000,0.0001458964
4,0.0278160556,0.0281380000,0.0003219444
5,0.0178940358,0.0177360000,-0.0001580358
6,0.0121060242,0.0118600000,-0.0002460242
7,0.0083420167,0.0083320000,-0.0000100167
8,0.0055620111,0.0054760000,-0.0000860111
9,0.0039560079,0.0038680000,-0.0000880079
10,0.0029980060,0.0029580000,-0.0000400060
11,0.0022540045,0.0021240000,-0.0001300045
12,0.0016680033,0.0015900000,-0.0000780033
13,0.0011500023,0.0012060000,0.0000559977
14,0.0009220018,0.0009380000,0.0000159982
15,0.0007580015,0.0008000000,0.0000419985
16,0.0005780012,0.0006120000,0.0000339988
17,0.0004280009,0.0004380000,0.0000099991
18,0.0003400007,0.0003260000,-0.0000140007
19,0.0002260005,0.0003040000,0.0000779995
20,0.0002040004,0.0002520000,0.0000479996
21,0.0001860004,0.0001680000,-0.0000180004
22,0.0001340003,0.0001380000,0.0000039997
23,0.0001100002,0.0001360000,0.0000259998
24,0.0000920002,0.0000800000,-0.0000120002
25,0.0001060002,0.0000780000,-0.0000280002
26,0.0000700001,0.0000720000,0.0000019999
27,0.0000380001,0.0000520000,0.0000139999
28,0.0000380001,0.0000500000,0.0000119999
29,0.0000500001,0.0000360000,-0.0000140001
30,0.0000160000,0.0000360000,0.0000200000
31,0.0000220000,0.0000340000,0.0000120000
32,0.0000200000,0.0000200000,-0.0000000000
33,0.0000180000,0.0000240000,0.0000060000
34,0.0000100000,0.0000160000,0.0000060000
35,0.0000060000,0.0000100000,0.0000040000
36,0.0000020000,0.0000040000,0.0000020000
37,0.0000120000,0.0000160000,0.0000040000
38,0.0000040000,0.0000100000,0.0000060000
39,0.0000000000,0.0000080000,0.0000080000
40,0.0000020000,0.0000020000,-0.0000000000
