q_mod8,source_count,target_count,source_fraction,target_fraction,one_step_from_source_fraction,stationary_fraction,uniform_fraction,stationary_diff_vs_uniform
1,625009,625019,0.250003700001,0.250007700003,0.250007700003,0.250007700219,0.250000000000,0.000007700219
3,625002,625018,0.250000900000,0.250007300003,0.250007300003,0.250007300228,0.250000000000,0.000007300228
5,624996,624986,0.249998499999,0.249994499998,0.249994499998,0.249994499954,0.250000000000,-0.000005500046
7,624992,624976,0.249996899999,0.249990499996,0.249990499996,0.249990499599,0.250000000000,-0.000009500401
