source,prev_exit_v2,next_tail,count,fraction,geometric_fraction,diff_vs_geometric
local_all_starts,3,3,39062,0.1249976,0.125,-2.4e-06
local_all_starts,3,4,19532,0.062502,0.0625,2e-06
local_all_starts,3,5,9764,0.0312446,0.03125,-5.4e-06
local_all_starts,3,6,4883,0.0156255,0.015625,5e-07
local_all_starts,3,7,2440,0.00780795,0.0078125,-4.55e-06
local_all_starts,3,8,1221,0.00390717,0.00390625,9.2e-07
local_all_starts,3,9,613,0.00196159,0.00195312,8.46e-06
local_all_starts,3,10,305,0.00097599,0.00097656,-5.7e-07
local_all_starts,3,11,152,0.0004864,0.00048828,-1.88e-06
local_all_starts,3,12,76,0.0002432,0.00024414,-9.4e-07
local_all_starts,3,13,40,0.000128,0.00012207,5.93e-06
local_all_starts,3,14,18,5.76e-05,6.104e-05,-3.44e-06
local_all_starts,3,15,10,3.2e-05,3.052e-05,1.48e-06
local_all_starts,3,16,5,1.6e-05,1.526e-05,7.4e-07
local_all_starts,3,17,2,6.4e-06,7.63e-06,-1.23e-06
local_all_starts,3,19,2,6.4e-06,1.91e-06,4.49e-06
chain_before_descent,4,1,11200,0.511883,0.5,0.011883
chain_before_descent,4,2,5265,0.24063071,0.25,-0.00936929
chain_before_descent,4,3,2617,0.11960695,0.125,-0.00539305
chain_before_descent,4,4,1450,0.06627057,0.0625,0.00377057
chain_before_descent,4,5,629,0.02874771,0.03125,-0.00250229
chain_before_descent,4,6,330,0.01508227,0.015625,-0.00054273
chain_before_descent,4,7,177,0.00808958,0.0078125,0.00027708
chain_before_descent,4,8,115,0.00525594,0.00390625,0.00134969
chain_before_descent,4,9,40,0.00182815,0.00195312,-0.00012497
chain_before_descent,4,10,27,0.001234,0.00097656,0.00025744
chain_before_descent,4,11,10,0.00045704,0.00048828,-3.124e-05
chain_before_descent,4,12,8,0.00036563,0.00024414,0.00012149
chain_before_descent,4,14,10,0.00045704,6.104e-05,0.000396
chain_before_descent,4,15,1,4.57e-05,3.052e-05,1.519e-05
chain_before_descent,4,19,1,4.57e-05,1.91e-06,4.38e-05
local_all_starts,4,1,78128,0.5000064,0.5,6.4e-06
local_all_starts,4,2,39060,0.2499776,0.25,-2.24e-05
local_all_starts,4,3,19535,0.1250208,0.125,2.08e-05
local_all_starts,4,4,9763,0.0624816,0.0625,-1.84e-05
local_all_starts,4,5,4884,0.0312568,0.03125,6.8e-06
