source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,prev_exit_v2_01,1419553,0.49965236,-0.00034764,0.28636479,1.99898489,2.00117431,-0.576589707864,0.961497681399,0.384907973547
real,prev_exit_v2_01,1419206,0.50045166,0.00045166,0.28608391,1.99832794,2.00124013,-0.576900960819,0.957331683826,0.380430723008
model,prev_exit_v2_02,328832,0.50020679,0.00020679,0.28639853,2.00010644,2.00129245,-0.576216848634,1.033394480819,0.457177632185
real,prev_exit_v2_02,328893,0.50041807,0.00041807,0.28587413,1.99767706,2.00063242,-0.576743773167,1.024372563637,0.44762879047
model,prev_exit_v2_03,84666,0.50075591,0.00075591,0.2843172,2.0008504,1.99939763,-0.574601808263,1.005523892283,0.43092208402
real,prev_exit_v2_03,84177,0.4965727,-0.0034273,0.28655096,2.00817325,2.0130677,-0.581107132395,0.987977644088,0.406870511693
model,prev_exit_v2_04,21869,0.5009374,0.0009374,0.28743884,1.98641913,1.98641913,-0.571457172682,0.970872540046,0.399415367364
real,prev_exit_v2_04,21880,0.511883,0.011883,0.28176417,1.99611517,1.976234,-0.560465445146,0.96623245102,0.405767005874
model,prev_exit_v2_05,5500,0.50345455,0.00345455,0.28127273,1.99,2.01090909,-0.586980401591,1.000318108784,0.413337707193
real,prev_exit_v2_05,5385,0.54447539,0.04447539,0.25979573,1.92423398,1.96620241,-0.582657545131,1.023874712336,0.441217167205
model,prev_exit_v2_06,1326,0.49396682,-0.00603318,0.28355958,2.00226244,2.0188537,-0.587515188787,1.036300155134,0.448784966347
real,prev_exit_v2_06,1280,0.4921875,-0.0078125,0.26953125,1.96640625,1.9875,-0.580320566728,1.120771396462,0.540450829733
model,prev_exit_v2_07,320,0.509375,0.009375,0.290625,2.046875,2.015625,-0.567188392657,1.044742531423,0.477554138766
real,prev_exit_v2_07,332,0.56927711,0.06927711,0.19277108,1.70481928,1.81626506,-0.567693986615,0.788335267791,0.220641281176
model,prev_exit_v2_08,93,0.49462366,-0.00537634,0.29032258,2.02150538,2.05376344,-0.603910442609,0.831947314499,0.228036871891
real,prev_exit_v2_08,85,0.49411765,-0.00588235,0.21176471,1.89411765,1.95294118,-0.585676780971,0.942095167757,0.356418386786
model,prev_exit_v2_09,22,0.45454545,-0.04545455,0.27272727,2.13636364,1.86363636,-0.425553378267,1.044603938204,0.619050559937
real,prev_exit_v2_09,36,0.22222222,-0.27777778,0.47222222,2.19444444,2.0,-0.496523451989,0.923708862386,0.427185410398
model,prev_exit_v2_10,5,0.6,0.1,0.2,1.8,3.4,-1.626863219309,1.704206333479,0.07734311417
real,prev_exit_v2_10,10,0.1,-0.4,0.8,2.0,1.7,-0.367419922353,1.122693720758,0.755273798405
model,prev_exit_v2_11_plus,3,1.0,0.5,0.0,1.0,4.0,-2.367123614132,0.564597288024,-1.802526326107
