bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
prev_exit_v2_01__final_block,557026,557059,0.68386933,0.68250939,0.00135994,0.0008815375,-0.00036787,0.00308776,1.542693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47671922,1.47876257,-0.00204335
prev_exit_v2_01__interior_block,862180,862494,0.38195156,0.38155048,0.00040108,0.0007398578,-0.00104904,0.00185121,0.54211,0.47091327,0.47131922,-0.00040595,0.0007601873,-0.00189592,0.00108401,-0.534019,2.33532209,2.33498088,0.00034121
prev_exit_v2_02__final_block,117418,117045,0.68318316,0.68288265,0.00030051,0.0019218583,-0.00346634,0.00406735,0.156362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47579587,1.47947371,-0.00367783
prev_exit_v2_02__interior_block,211475,211787,0.39894077,0.39925019,-0.00030942,0.0015054508,-0.0032601,0.00264127,-0.205531,0.44460102,0.44467791,-7.689e-05,0.0015276258,-0.00307104,0.00291726,-0.050334,2.28744296,2.28783636,-0.0003934
prev_exit_v2_03__final_block,30486,30542,0.66676507,0.67431733,-0.00755226,0.0038050997,-0.01501026,-9.427e-05,-1.984773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50925015,1.49364809,0.01560206
prev_exit_v2_03__interior_block,53691,54124,0.39993667,0.40281576,-0.00287908,0.0029856837,-0.00873102,0.00297286,-0.964296,0.44925593,0.44475649,0.00449944,0.0030283579,-0.00143614,0.01043502,1.48577,2.29146412,2.28706304,0.00440108
prev_exit_v2_04__final_block,8150,8213,0.69079755,0.68014124,0.01065631,0.0072592371,-0.0035718,0.02488441,1.467965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47276074,1.48654572,-0.01378498
prev_exit_v2_04__interior_block,13730,13656,0.40568099,0.39316052,0.01252048,0.0059187391,0.00091975,0.0241212,2.115396,0.44901675,0.46031049,-0.01129373,0.006017525,-0.02308808,0.00050061,-1.876807,2.30677349,2.28705331,0.01972018
prev_exit_v2_05__final_block,1959,2048,0.70495151,0.66748047,0.03747104,0.014647463,0.00876201,0.06618006,2.558193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44614599,1.49902344,-0.05287744
prev_exit_v2_05__interior_block,3426,3452,0.45271454,0.40614137,0.04657317,0.0119242847,0.02320157,0.06994477,3.905741,0.40834793,0.448146,-0.03979807,0.011923187,-0.06316752,-0.01642863,-3.337872,2.19760654,2.28128621,-0.08367967
prev_exit_v2_06__final_block,461,473,0.60737527,0.65116279,-0.04378752,0.0315835694,-0.10569132,0.01811628,-1.386402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60303688,1.52642706,0.07660982
prev_exit_v2_06__interior_block,819,853,0.42735043,0.40679953,0.0205509,0.0241185795,-0.02672152,0.06782331,0.852077,0.42124542,0.44079719,-0.01955177,0.0242208908,-0.06702471,0.02792118,-0.807227,2.17094017,2.26611958,-0.09517941
prev_exit_v2_07__final_block,132,115,0.68181818,0.70434783,-0.02252964,0.0587733003,-0.13772531,0.09266602,-0.383331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42424242,1.40869565,0.01554677
prev_exit_v2_07__interior_block,200,205,0.495,0.4,0.095,0.0491996617,-0.00143134,0.19143134,1.930908,0.32,0.45365854,-0.13365854,0.047927408,-0.22759626,-0.03972082,-2.78877,1.89,2.40487805,-0.51487805
prev_exit_v2_08__final_block,35,35,0.71428571,0.65714286,0.05714286,0.1107620042,-0.15995067,0.27423639,0.515907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.82857143,-0.42857143
prev_exit_v2_08__interior_block,50,58,0.34,0.39655172,-0.05655172,0.0928107505,-0.2384608,0.12535735,-0.609323,0.36,0.46551724,-0.10551724,0.0943283827,-0.29040087,0.07936639,-1.118616,2.24,2.13793103,0.10206897
prev_exit_v2_09__final_block,14,5,0.42857143,0.4,0.02857143,0.2559154379,-0.47302283,0.53016569,0.111644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64285714,2.2,-0.55714286
prev_exit_v2_09__interior_block,22,17,0.09090909,0.47058824,-0.37967914,0.1356892441,-0.64563006,-0.11372823,-2.798152,0.77272727,0.35294118,0.4197861,0.1463436605,0.13295252,0.70661967,2.868495,2.54545455,2.11764706,0.42780749
prev_exit_v2_10__final_block,2,2,0.5,0.5,0.0,0.5,-0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.5
prev_exit_v2_10__interior_block,8,3,0.0,0.66666667,-0.66666667,0.272165527,-1.2001111,-0.13322223,-2.44949,1.0,0.33333333,0.66666667,0.272165527,0.13322223,1.2001111,2.44949,2.0,2.0,0.0
