source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,prev_exit_v2_01__final_block,557059,0.68250939,0.18250939,0.0,1.47876257,2.89485315,-1.406972671541,0.452615518517,-0.954357153022
real,prev_exit_v2_01__final_block,557026,0.68386933,0.18386933,0.0,1.47671922,2.89440708,-1.407491216038,0.453286460967,-0.954204755071
model,prev_exit_v2_01__interior_block,862494,0.38155048,-0.11844952,0.47131922,2.33498088,1.42397396,-0.040270262896,1.29016940408,1.249899141191
real,prev_exit_v2_01__interior_block,862180,0.38195156,-0.11804844,0.47091327,2.33532209,1.42419448,-0.040284050772,1.282978641896,1.242694591124
model,prev_exit_v2_02__final_block,117045,0.68288265,0.18288265,0.0,1.47947371,3.02532359,-1.497119552681,0.517926792159,-0.979192760522
real,prev_exit_v2_02__final_block,117418,0.68318316,0.18318316,0.0,1.47579587,3.02454479,-1.498070410935,0.517246138475,-0.98082427246
model,prev_exit_v2_02__interior_block,211787,0.39925019,-0.10074981,0.44467791,2.28783636,1.43535722,-0.067275992985,1.318269924634,1.250993931648
real,prev_exit_v2_02__interior_block,211475,0.39894077,-0.10105923,0.44460102,2.28744296,1.432122,-0.06519237866,1.305946133041,1.240753754382
model,prev_exit_v2_03__final_block,30542,0.67431733,0.17431733,0.0,1.49364809,3.0211512,-1.488480252696,0.491018436201,-0.997461816495
real,prev_exit_v2_03__final_block,30486,0.66676507,0.16676507,0.0,1.50925015,3.05117103,-1.502961152785,0.496512880223,-1.006448272562
model,prev_exit_v2_03__interior_block,54124,0.40281576,-0.09718424,0.44475649,2.28706304,1.42282536,-0.058903126535,1.295857674702,1.236954548168
real,prev_exit_v2_03__interior_block,53691,0.39993667,-0.10006333,0.44925593,2.29146412,1.4236278,-0.05767412378,1.267033627236,1.209359503456
model,prev_exit_v2_04__final_block,8213,0.68014124,0.18014124,0.0,1.48654572,2.9472787,-1.440155503195,0.463363610494,-0.976791892701
real,prev_exit_v2_04__final_block,8150,0.69079755,0.19079755,0.0,1.47276074,2.94147239,-1.441719696103,0.451294730657,-0.990424965447
model,prev_exit_v2_04__interior_block,13656,0.39316052,-0.10683948,0.46031049,2.28705331,1.40853837,-0.049004083307,1.276098875606,1.2270947923
real,prev_exit_v2_04__interior_block,13730,0.40568099,-0.09431901,0.44901675,2.30677349,1.40327749,-0.037361137404,1.271894681243,1.234533543839
model,prev_exit_v2_05__final_block,2048,0.66748047,0.16748047,0.0,1.49902344,2.99023438,-1.464870826102,0.475130839629,-0.989739986473
real,prev_exit_v2_05__final_block,1959,0.70495151,0.20495151,0.0,1.44614599,2.90301174,-1.425852244967,0.467691318109,-0.958160926858
model,prev_exit_v2_05__interior_block,3452,0.40614137,-0.09385863,0.448146,2.28128621,1.42989571,-0.066146221579,1.31190082235,1.24575460077
real,prev_exit_v2_05__interior_block,3426,0.45271454,-0.04728546,0.40834793,2.19760654,1.43053123,-0.100515567029,1.341902520068,1.241386953039
model,prev_exit_v2_06__final_block,473,0.65116279,0.15116279,0.0,1.52642706,3.05073996,-1.495698886879,0.496830033374,-0.998868853505
real,prev_exit_v2_06__final_block,461,0.60737527,0.10737527,0.0,1.60303688,2.93926247,-1.387365587618,0.510365920109,-0.87699966751
model,prev_exit_v2_06__interior_block,853,0.40679953,-0.09320047,0.44079719,2.26611958,1.44665885,-0.083915084218,1.335443610695,1.251528526477
real,prev_exit_v2_06__interior_block,819,0.42735043,-0.07264957,0.42124542,2.17094017,1.45177045,-0.126049804054,1.464357384983,1.338307580929
model,prev_exit_v2_07__final_block,115,0.70434783,0.20434783,0.0,1.40869565,2.96521739,-1.48415513963,0.486333626226,-0.997821513404
real,prev_exit_v2_07__final_block,132,0.68181818,0.18181818,0.0,1.42424242,2.53030303,-1.176391410639,0.352191439225,-0.824199971414
model,prev_exit_v2_07__interior_block,205,0.4,-0.1,0.45365854,2.40487805,1.48292683,-0.052792412648,1.357996307509,1.305203894861
real,prev_exit_v2_07__interior_block,200,0.495,-0.005,0.32,1.89,1.345,-0.165953686759,1.076190194644,0.910236507885
model,prev_exit_v2_08__final_block,35,0.65714286,0.15714286,0.0,1.82857143,3.31428571,-1.555865886458,0.328275511662,-1.227590374796
real,prev_exit_v2_08__final_block,35,0.71428571,0.21428571,0.0,1.4,2.6,-1.234531137791,0.455589416685,-0.778941721105
model,prev_exit_v2_08__interior_block,58,0.39655172,-0.10344828,0.46551724,2.13793103,1.29310345,-0.02945457132,1.135887195522,1.106432624202
real,prev_exit_v2_08__interior_block,50,0.34,-0.16,0.36,2.24,1.5,-0.131478731198,1.282649193508,1.15117046231
model,prev_exit_v2_09__final_block,5,0.4,-0.1,0.0,2.2,3.2,-1.326047739954,0.420269020911,-0.905778719043
real,prev_exit_v2_09__final_block,14,0.42857143,-0.07142857,0.0,1.64285714,2.92857143,-1.363809693377,0.541045928105,-0.822763765272
model,prev_exit_v2_09__interior_block,17,0.47058824,-0.02941176,0.35294118,2.11764706,1.47058824,-0.160702095418,1.228231855055,1.067529759637
real,prev_exit_v2_09__interior_block,22,0.09090909,-0.40909091,0.77272727,2.54545455,1.40909091,0.055385974349,1.167221638747,1.222607613097
model,prev_exit_v2_10__final_block,2,0.5,0.0,0.0,1.5,6.0,-3.550685421197,1.25704842446,-2.293636996738
real,prev_exit_v2_10__final_block,2,0.5,0.0,0.0,2.0,4.5,-2.30823200129,0.714518166315,-1.593713834974
model,prev_exit_v2_10__interior_block,3,0.66666667,0.16666667,0.33333333,2.0,1.66666667,-0.344315084717,2.002311606159,1.657996521442
real,prev_exit_v2_10__interior_block,8,0.0,-0.5,1.0,2.0,1.0,0.117783097381,1.224737609369,1.34252070675
model,prev_exit_v2_11_plus__final_block,3,1.0,0.5,0.0,1.0,4.0,-2.367123614132,0.564597288024,-1.802526326107
