k,P_real_blocks_ge_k,P_model_blocks_ge_k,ratio_model_over_real
1,1.0000000000,1.0000000000,1.000000
2,0.2862733145,0.2866640000,1.001365
3,0.1399508560,0.1402016000,1.001792
5,0.0602384241,0.0600888000,0.997516
8,0.0221964089,0.0221636000,0.998522
10,0.0126328051,0.0126900000,1.004527
15,0.0036044014,0.0037136000,1.030296
20,0.0011756005,0.0012844000,1.092548
25,0.0004172002,0.0004672000,1.119846
30,0.0001464001,0.0001752000,1.196721
40,0.0000192000,0.0000288000,1.499999
