source,prev_exit_v2,next_exit_v2,count,fraction,geometric_fraction,diff_vs_geometric
local_all_starts,3,4,19524,0.0624764,0.0625,-2.36e-05
local_all_starts,3,5,9766,0.031251,0.03125,1e-06
local_all_starts,3,6,4889,0.0156447,0.015625,1.97e-05
local_all_starts,3,7,2439,0.00780475,0.0078125,-7.75e-06
local_all_starts,3,8,1226,0.00392317,0.00390625,1.692e-05
local_all_starts,3,9,610,0.00195199,0.00195312,-1.14e-06
local_all_starts,3,10,302,0.00096639,0.00097656,-1.017e-05
local_all_starts,3,11,149,0.0004768,0.00048828,-1.148e-05
local_all_starts,3,12,76,0.0002432,0.00024414,-9.4e-07
local_all_starts,3,13,39,0.0001248,0.00012207,2.73e-06
local_all_starts,3,14,18,5.76e-05,6.104e-05,-3.44e-06
local_all_starts,3,15,10,3.2e-05,3.052e-05,1.48e-06
local_all_starts,3,16,2,6.4e-06,1.526e-05,-8.86e-06
local_all_starts,3,17,4,1.28e-05,7.63e-06,5.17e-06
local_all_starts,3,19,5,1.6e-05,1.91e-06,1.409e-05
chain_before_descent,4,1,11147,0.50946069,0.5,0.00946069
chain_before_descent,4,2,5440,0.24862888,0.25,-0.00137112
chain_before_descent,4,3,2627,0.12006399,0.125,-0.00493601
chain_before_descent,4,4,1363,0.06229433,0.0625,-0.00020567
chain_before_descent,4,5,620,0.02833638,0.03125,-0.00291362
chain_before_descent,4,6,365,0.0166819,0.015625,0.0010569
chain_before_descent,4,7,154,0.00703839,0.0078125,-0.00077411
chain_before_descent,4,8,65,0.00297075,0.00390625,-0.0009355
chain_before_descent,4,9,47,0.00214808,0.00195312,0.00019496
chain_before_descent,4,10,25,0.0011426,0.00097656,0.00016603
chain_before_descent,4,11,14,0.00063985,0.00048828,0.00015157
chain_before_descent,4,12,5,0.00022852,0.00024414,-1.562e-05
chain_before_descent,4,13,7,0.00031993,0.00012207,0.00019786
chain_before_descent,4,14,1,4.57e-05,6.104e-05,-1.533e-05
