n,block,current_odd,tail,odd_factor,exit_v2,next_odd,next_tail,steps_to_next_odd,compressed_steps,local_odd_ratio,cumulative_odd_ratio,local_peak_ratio,cumulative_peak_ratio,local_log_ratio,cumulative_log_ratio,status_after
626331,1,626331,2,156583,1,704623,4,5,5,1.125000997875,1.125000997875,4.5000039915,4.5000039915,0.117783922656,0.117783922656,continue
626331,2,704623,4,44039,1,1783579,2,9,14,2.531252882747,2.847662018964,10.125011530989,11.390648075858,0.928714390735,1.046498313391,continue
626331,3,1783579,2,445895,1,2006527,9,5,19,1.125000350419,3.20362076921,4.500001401676,12.81448307684,0.11778334714,1.164281660531,continue
626331,4,2006527,9,3919,2,19284419,2,20,39,9.610844508945,30.789501078503,76.88675607156,246.316008628026,2.262892097263,3.427173757794,continue
626331,5,19284419,2,4821105,3,5423743,7,7,46,0.281250008102,8.659547427798,4.500000129638,138.552758844764,-1.268511296655,2.158662461139,continue
626331,6,5423743,7,42373,1,46334875,2,15,61,8.542970232918,73.978255906222,34.171880931674,295.913023624888,2.145108749781,4.30377121092,continue
626331,7,46334875,2,11583719,1,52126735,4,5,66,1.125000013489,83.225538892375,4.500000053955,332.902155569499,0.117783047646,4.421554258566,continue
626331,8,52126735,4,3257921,4,16493225,1,12,78,0.316406254871,26.333081070552,10.12500015587,842.658594257669,-1.150728274413,3.270825984154,continue
626331,9,16493225,1,8246613,1,12369919,14,3,81,0.750000015158,19.749811202064,3.000000060631,78.999244808256,-0.287682052241,2.983143931912,continue
626331,10,12369919,14,755,1,1805570797,1,29,110,145.964641886499,2882.774119435251,583.858567545996,11531.096477741003,4.983364413519,7.966508345431,continue
626331,11,1805570797,1,902785399,2,677089049,1,4,114,0.375000000069,1081.040294987794,3.000000000554,8648.322359902351,-0.980829252827,6.985679092604,continue
626331,12,677089049,1,338544525,1,507816787,2,3,117,0.750000000369,810.780221639995,3.000000001477,3243.120886559982,-0.287682071959,6.697997020644,continue
