source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,duration_01,356888,0.70060075,0.20060075,0.0,1.47994329,2.33864966,-1.020963053351,0.0,-1.020963053351
real,duration_01,356865,0.70054222,0.20054222,0.0,1.48120438,2.34145405,-1.022389890062,0.0,-1.022389890062
model,duration_02,146168,0.34235264,-0.15764736,0.5,2.10636391,1.90617645,-0.467203764588,0.16247209768,-0.304731666909
real,duration_02,146318,0.34361459,-0.15638541,0.5,2.10160062,1.90051122,-0.465202001167,0.161600510994,-0.303601490173
model,duration_03,77610,0.35311171,-0.14688829,0.50198428,2.33362969,1.82844994,-0.321179508823,0.36907203163,0.047892522808
real,duration_03,77712,0.35417953,-0.14582047,0.50150556,2.32850782,1.82790303,-0.322872949698,0.369563204817,0.046690255119
model,duration_04,55844,0.35717355,-0.14282645,0.47675668,2.45200917,1.7999606,-0.25343345561,0.54952067151,0.2960872159
real,duration_04,55632,0.35609002,-0.14390998,0.47724331,2.44524734,1.79948591,-0.255842931504,0.544801511451,0.288958579947
model,duration_05,45325,0.37482625,-0.12517375,0.47057915,2.42618864,1.71201324,-0.20294231057,0.667476813796,0.464534503226
real,duration_05,44735,0.37599195,-0.12400805,0.47077233,2.43438024,1.71713423,-0.203166743675,0.67690488285,0.473738139175
model,duration_06,35616,0.37168688,-0.12831312,0.4693677,2.48722484,1.69631626,-0.167313944827,0.817553000134,0.650239055307
real,duration_06,36318,0.37039485,-0.12960515,0.47150173,2.48771959,1.70562806,-0.173564965048,0.826789445705,0.653224480658
model,duration_07,28637,0.37549324,-0.12450676,0.46935782,2.47319901,1.64566819,-0.137894363812,0.91857993158,0.780685567768
real,duration_07,29197,0.37507278,-0.12492722,0.4740898,2.48594034,1.65808131,-0.141328415373,0.939857419148,0.798529003775
model,duration_08,22336,0.37871597,-0.12128403,0.47080946,2.48929979,1.63493911,-0.123929229216,1.055773083061,0.931843853845
real,duration_08,22248,0.37562927,-0.12437073,0.4737954,2.49905609,1.63897878,-0.12277071167,1.043322441778,0.920551730108
model,duration_09,17505,0.37863468,-0.12136532,0.46923736,2.52944873,1.64164524,-0.112298570176,1.172661194635,1.060362624459
real,duration_09,17802,0.37698011,-0.12301989,0.46916077,2.53583867,1.65144366,-0.116497575306,1.192190348864,1.075692773558
model,duration_10,14790,0.37329277,-0.12670723,0.47281947,2.54306964,1.63759297,-0.10396694165,1.296263889543,1.192296947894
real,duration_10,14990,0.37098065,-0.12901935,0.46911274,2.55677118,1.6490994,-0.106382451247,1.289595720217,1.183213268969
model,duration_11_20,59459,0.37925293,-0.12074707,0.46929817,2.55328882,1.59918599,-0.073201734946,1.646766853464,1.573565118518
real,duration_11_20,57528,0.3796586,-0.1203414,0.46723335,2.56318662,1.60556599,-0.073603542807,1.633304999188,1.559701456381
model,duration_21_40,12084,0.37512413,-0.12487587,0.47144985,2.58747104,1.57108573,-0.039864423015,2.536013568576,2.496149145561
real,duration_21_40,11648,0.3956044,-0.1043956,0.44900412,2.55391484,1.54610234,-0.036152492272,2.445724965996,2.409572473724
model,duration_41_plus,799,0.38673342,-0.11326658,0.4543179,2.67459324,1.59574468,-0.021631688594,4.568593511853,4.546961823259
real,duration_41_plus,82,0.37804878,-0.12195122,0.42682927,2.69512195,1.59756098,-0.014566799454,3.018217018152,3.003650218697
