challenge,challenge_path,status,return_code,timeout,wall_timeout,elapsed_seconds,log
m19_collatz_S1_without_ff_end_to_0_end.aprove.srs,reports/m19_rewriting_challenges/m19_collatz_S1_without_ff_end_to_0_end.aprove.srs,KILLED,0,120,180,124.185,/tmp/m19_aprove_challenges/logs/m19_collatz_S1_without_ff_end_to_0_end.aprove.aprove.log
m19_collatz_S2_without_tf_end_to_end.aprove.srs,reports/m19_rewriting_challenges/m19_collatz_S2_without_tf_end_to_end.aprove.srs,KILLED,0,120,180,122.039,/tmp/m19_aprove_challenges/logs/m19_collatz_S2_without_tf_end_to_end.aprove.aprove.log
