challenge,challenge_path,challenge_sha256,status,top_line,return_code,wall_timeout,elapsed_seconds,command,log
m19_collatz_S1_without_ff_end_to_0_end.tpdb,reports/m19_rewriting_challenges/m19_collatz_S1_without_ff_end_to_0_end.tpdb,696fd582b6fba539a12893d4f88054868f09a0efd96666cb42cf040e36e4a769,ERROR,ERROR: cannot execute Matchbox command: [Errno 2] No such file or directory: 'matchbox2015',127,180,0.000,matchbox2015 reports/m19_rewriting_challenges/m19_collatz_S1_without_ff_end_to_0_end.tpdb,/tmp/m19_matchbox_challenges/logs/m19_collatz_S1_without_ff_end_to_0_end.matchbox.log
m19_collatz_S2_without_tf_end_to_end.tpdb,reports/m19_rewriting_challenges/m19_collatz_S2_without_tf_end_to_end.tpdb,1cb698b7673aeef8d17ec550897b582e88ea88dcda11ab21781559146fd15615,ERROR,ERROR: cannot execute Matchbox command: [Errno 2] No such file or directory: 'matchbox2015',127,180,0.000,matchbox2015 reports/m19_rewriting_challenges/m19_collatz_S2_without_tf_end_to_end.tpdb,/tmp/m19_matchbox_challenges/logs/m19_collatz_S2_without_tf_end_to_end.matchbox.log
