challenge,rulefile,interpretation,dimension,result_width,remove_any,solver_timeout,workers,tries,wall_timeout,status,return_code,elapsed_seconds,has_qed,has_sat,variables,clauses,sat_attempt,sat_seconds,log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,1,3,True,300,4,3,360,UNSAT,29,0.176,False,False,183,843,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d1_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,2,3,True,300,4,3,360,UNSAT,29,0.186,False,False,1055,5399,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d2_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,3,True,300,4,3,360,UNSAT,29,0.136,False,False,73,251,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,3,True,300,4,3,360,UNSAT,29,0.159,False,False,643,2420,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw3.log
